Date,FlowCFS
2/21/49,17
2/22/49,13
2/23/49,10
2/24/49,13
2/25/49,9
2/26/49,8.3
2/27/49,7.5
2/28/49,6.4
3/1/49,5.7
3/2/49,5.4
3/3/49,5.2
3/4/49,5.2
3/5/49,5.2
3/6/49,4.7
3/7/49,4.9
3/8/49,5.2
3/9/49,5.2
3/10/49,6.1
3/11/49,4.2
3/12/49,4
3/13/49,3.7
3/14/49,3.7
3/15/49,3.5
3/16/49,3.5
3/17/49,3.3
3/18/49,3.3
3/19/49,3.3
3/20/49,3.1
3/21/49,3.7
3/22/49,10
3/23/49,3.5
3/24/49,3.3
3/25/49,3.3
3/26/49,20
3/27/49,7.1
3/28/49,5.4
3/29/49,5.2
3/30/49,7.5
3/31/49,8.2
4/1/49,4.9
4/2/49,4.7
4/3/49,4.4
4/4/49,4.7
4/5/49,4.7
4/6/49,4.4
4/7/49,4.7
4/8/49,4.2
4/9/49,4.2
4/10/49,3.7
4/11/49,3.7
4/12/49,4.2
4/13/49,4.9
4/14/49,6.5
4/15/49,7.1
4/16/49,3.3
4/17/49,3.7
4/18/49,2.9
4/19/49,2.7
4/20/49,2.6
4/21/49,2.6
4/22/49,9.5
4/23/49,4.2
4/24/49,2.7
4/25/49,2.6
4/26/49,13
4/27/49,4.2
4/28/49,3.3
4/29/49,3.1
4/30/49,2.9
5/1/49,15
5/2/49,3.7
5/3/49,3.1
5/4/49,2.7
5/5/49,2.5
5/6/49,2.5
5/7/49,2.5
5/8/49,2.5
5/9/49,2.5
5/10/49,2.5
5/11/49,2.5
5/12/49,2
5/13/49,2
5/14/49,2
5/15/49,2
5/16/49,2
5/17/49,2.1
5/18/49,2.3
5/19/49,24
5/20/49,3.1
5/21/49,2.7
5/22/49,2.6
5/23/49,28
5/24/49,9
5/25/49,5.2
5/26/49,3.7
5/27/49,3.1
5/28/49,2.7
5/29/49,2.1
5/30/49,1.8
5/31/49,2
6/1/49,1.9
6/2/49,1.8
6/3/49,1.7
6/4/49,1.6
6/5/49,1.5
6/6/49,1.5
6/7/49,1.4
6/8/49,1.4
6/9/49,1.3
6/10/49,2.3
6/11/49,6.7
6/12/49,6.5
6/13/49,4.5
6/14/49,3.5
6/15/49,7.4
6/16/49,1.6
6/17/49,1.6
6/18/49,1.6
6/19/49,1.5
6/20/49,1.3
6/21/49,1.6
6/22/49,1.6
6/23/49,1.5
6/24/49,1.5
6/25/49,1.5
6/26/49,14
6/27/49,10
6/28/49,27
6/29/49,6
6/30/49,2.6
7/1/49,2.3
7/2/49,2.1
7/3/49,1.8
7/4/49,1.6
7/5/49,1.8
7/6/49,22
7/7/49,5.7
7/8/49,2.6
7/9/49,2.5
7/10/49,2.5
7/11/49,2.5
7/12/49,2.5
7/13/49,2.5
7/14/49,2.3
7/15/49,2
7/16/49,1.8
7/17/49,2.6
7/18/49,2.4
7/19/49,15
7/20/49,2.1
7/21/49,4.8
7/22/49,5.2
7/23/49,1.8
7/24/49,1.6
7/25/49,1.7
7/26/49,14
7/27/49,2.7
7/28/49,2.4
7/29/49,9.3
7/30/49,4.8
7/31/49,2
8/1/49,5.5
8/2/49,3.9
8/3/49,2.3
8/4/49,2.3
8/5/49,2.3
8/6/49,2.1
8/7/49,1.8
8/8/49,2
8/9/49,2.4
8/10/49,3.3
8/11/49,7
8/12/49,5.5
8/13/49,2.3
8/14/49,1.5
8/15/49,1.8
8/16/49,2.3
8/17/49,17
8/18/49,5
8/19/49,2
8/20/49,2
8/21/49,1.8
8/22/49,1.7
8/23/49,1.8
8/24/49,1.8
8/25/49,2.1
8/26/49,2.3
8/27/49,2
8/28/49,1.8
8/29/49,1.5
8/30/49,1.6
8/31/49,1.8
9/1/49,2
9/2/49,1.7
9/3/49,1.6
9/4/49,7
9/5/49,3
9/6/49,2.1
9/7/49,1.6
9/8/49,1.8
9/9/49,2.3
9/10/49,1.6
9/11/49,1.4
9/12/49,8.6
9/13/49,1.6
9/14/49,1.7
9/15/49,1.7
9/16/49,1.6
9/17/49,1.5
9/18/49,1.6
9/19/49,1.5
9/20/49,1.8
9/21/49,2.1
9/22/49,2
9/23/49,2.1
9/24/49,2
9/25/49,1.7
9/26/49,1.8
9/27/49,2.3
9/28/49,2.1
9/29/49,2.3
9/30/49,2.1
10/1/49,2.3
10/2/49,18
10/3/49,47
10/4/49,3.7
10/5/49,1
10/6/49,10
10/7/49,5
10/8/49,3
10/9/49,2
10/10/49,2
10/11/49,40
10/12/49,9
10/13/49,5.4
10/14/49,3.7
10/15/49,2.9
10/16/49,2.9
10/17/49,2.1
10/18/49,2.1
10/19/49,2.3
10/20/49,7.5
10/21/49,51
10/22/49,9.4
10/23/49,7
10/24/49,5.7
10/25/49,4
10/26/49,3.1
10/27/49,2.7
10/28/49,2.6
10/29/49,2.4
10/30/49,2.6
10/31/49,1.7
11/1/49,1
11/2/49,1
11/3/49,1
11/4/49,1
11/5/49,1
11/6/49,1
11/7/49,1
11/8/49,1
11/9/49,1
11/10/49,1
11/11/49,2
11/12/49,3
11/13/49,5
11/14/49,2
11/15/49,1.5
11/16/49,1.7
11/17/49,1.6
11/18/49,1.7
11/19/49,1.4
11/20/49,1.2
11/21/49,1
11/22/49,1.3
11/23/49,2
11/24/49,3
11/25/49,2
11/26/49,1
11/27/49,1
11/28/49,1
11/29/49,2.3
11/30/49,2.3
12/1/49,2
12/2/49,1.7
12/3/49,3.4
12/4/49,1.5
12/5/49,1.7
12/6/49,1.8
12/7/49,1.8
12/8/49,1.6
12/9/49,1.1
12/10/49,4.5
12/11/49,17
12/12/49,3.7
12/13/49,2.3
12/14/49,1.7
12/15/49,1.6
12/16/49,1.5
12/17/49,10
12/18/49,5.4
12/19/49,2.7
12/20/49,13
12/21/49,70
12/22/49,42
12/23/49,15
12/24/49,10
12/25/49,7.5
12/26/49,11
12/27/49,7.9
12/28/49,5.4
12/29/49,4.2
12/30/49,3.7
12/31/49,3.5
1/1/50,3.5
1/2/50,20
1/3/50,60
1/4/50,64
1/5/50,20
1/6/50,13
1/7/50,8.7
1/8/50,5.7
1/9/50,20
1/10/50,28
1/11/50,11
1/12/50,8.3
1/13/50,60
1/14/50,40
1/15/50,30
1/16/50,16
1/17/50,12
1/18/50,8.7
1/19/50,6.4
1/20/50,5.7
1/21/50,5.2
1/22/50,4.9
1/23/50,14
1/24/50,20
1/25/50,18
1/26/50,22
1/27/50,13
1/28/50,9.8
1/29/50,11
1/30/50,9
1/31/50,8.3
2/1/50,6.7
2/2/50,6.4
2/3/50,6.1
2/4/50,4.7
2/5/50,3.7
2/6/50,3.7
2/7/50,4
2/8/50,7.8
2/9/50,5.4
2/10/50,5.2
2/11/50,4.4
2/12/50,13
2/13/50,34
2/14/50,26
2/15/50,17
2/16/50,13
2/17/50,9
2/18/50,7.1
2/19/50,5.7
2/20/50,5.2
2/21/50,14
2/22/50,9.4
2/23/50,11
2/24/50,7.9
2/25/50,6.7
2/26/50,6.1
2/27/50,7.1
2/28/50,13
3/1/50,7.9
3/2/50,5.7
3/3/50,5.2
3/4/50,4
3/5/50,3.5
3/6/50,3.5
3/7/50,4.7
3/8/50,4.9
3/9/50,4.7
3/10/50,5.4
3/11/50,9.4
3/12/50,5.4
3/13/50,6.7
3/14/50,6.4
3/15/50,5.7
3/16/50,7.1
3/17/50,5.4
3/18/50,4.2
3/19/50,3.7
3/20/50,4.2
3/21/50,4.4
3/22/50,4
3/23/50,3.7
3/24/50,3.7
3/25/50,11
3/26/50,9.1
3/27/50,12
3/28/50,7.5
3/29/50,6.4
3/30/50,5.2
3/31/50,8.1
4/1/50,5.7
4/2/50,15
4/3/50,35
4/4/50,57
4/5/50,22
4/6/50,13
4/7/50,11
4/8/50,8.3
4/9/50,5.7
4/10/50,8
4/11/50,5.2
4/12/50,4
4/13/50,3.7
4/14/50,3.3
4/15/50,3.3
4/16/50,2.9
4/17/50,2.9
4/18/50,3.1
4/19/50,3.5
4/20/50,2.9
4/21/50,2.9
4/22/50,2.9
4/23/50,16
4/24/50,26
4/25/50,25
4/26/50,9
4/27/50,6.4
4/28/50,6
4/29/50,5
4/30/50,5
5/1/50,4
5/2/50,3.5
5/3/50,3.3
5/4/50,9.8
5/5/50,4
5/6/50,3
5/7/50,3
5/8/50,3
5/9/50,11
5/10/50,3.7
5/11/50,2.9
5/12/50,2.6
5/13/50,2.6
5/14/50,2
5/15/50,2
5/16/50,2
5/17/50,2
5/18/50,2
5/19/50,2
5/20/50,2
5/21/50,3
5/22/50,2
5/23/50,2
5/24/50,2
5/25/50,2
5/26/50,2
5/27/50,3
5/28/50,4
5/29/50,4
5/30/50,5
5/31/50,4
6/1/50,3
6/2/50,2
6/3/50,3
6/4/50,2
6/5/50,1
6/6/50,1
6/7/50,1
6/8/50,1
6/9/50,1
6/10/50,3
6/11/50,2
6/12/50,2
6/13/50,2
6/14/50,2.1
6/15/50,8.1
6/16/50,2.1
6/17/50,1.7
6/18/50,22
6/19/50,20
6/20/50,4.4
6/21/50,3.5
6/22/50,3.1
6/23/50,2.7
6/24/50,5
6/25/50,2.3
6/26/50,2
6/27/50,2.1
6/28/50,2.1
6/29/50,2
6/30/50,1.8
7/1/50,1.6
7/2/50,3.1
7/3/50,8.2
7/4/50,2.8
7/5/50,1.6
7/6/50,1.5
7/7/50,1.5
7/8/50,1.4
7/9/50,1.3
7/10/50,1.4
7/11/50,1.5
7/12/50,1.5
7/13/50,2
7/14/50,1.4
7/15/50,1.3
7/16/50,8.8
7/17/50,77
7/18/50,6.7
7/19/50,15
7/20/50,4.4
7/21/50,4
7/22/50,3
7/23/50,2
7/24/50,2
7/25/50,2
7/26/50,2
7/27/50,2
7/28/50,4
7/29/50,2.9
7/30/50,2.1
7/31/50,2.4
8/1/50,2.6
8/2/50,2
8/3/50,2
8/4/50,2
8/5/50,2.1
8/6/50,1.8
8/7/50,2.4
8/8/50,2.6
8/9/50,2.6
8/10/50,12
8/11/50,7.2
8/12/50,2.3
8/13/50,2.3
8/14/50,2.6
8/15/50,2.9
8/16/50,3.1
8/17/50,3.3
8/18/50,8
8/19/50,2.6
8/20/50,2
8/21/50,1.8
8/22/50,2.1
8/23/50,2.3
8/24/50,2.3
8/25/50,2.4
8/26/50,2.4
8/27/50,2.1
8/28/50,2.4
8/29/50,2.4
8/30/50,2.6
8/31/50,8
9/1/50,18
9/2/50,2.9
9/3/50,2.1
9/4/50,1.8
9/5/50,2
9/6/50,2
9/7/50,1.8
9/8/50,2.1
9/9/50,2.4
9/10/50,2
9/11/50,2.7
9/12/50,2
9/13/50,2.1
9/14/50,2
9/15/50,2.3
9/16/50,2.1
9/17/50,2
9/18/50,2
9/19/50,7.7
9/20/50,23
9/21/50,30
9/22/50,5.4
9/23/50,3.3
9/24/50,2.3
9/25/50,2.3
9/26/50,2.3
9/27/50,2.1
9/28/50,2.3
9/29/50,2.4
9/30/50,2.4
10/1/50,2
10/2/50,2.1
10/3/50,11
10/4/50,2.1
10/5/50,1.8
10/6/50,1.8
10/7/50,14
10/8/50,5.5
10/9/50,3.2
10/10/50,2.1
10/11/50,2
10/12/50,1.7
10/13/50,1.7
10/14/50,1.8
10/15/50,1.3
10/16/50,1.7
10/17/50,1.6
10/18/50,1.7
10/19/50,1.7
10/20/50,1.6
10/21/50,1.6
10/22/50,1.3
10/23/50,1.4
10/24/50,1.7
10/25/50,1.7
10/26/50,5.6
10/27/50,1.6
10/28/50,1.6
10/29/50,1.3
10/30/50,1.4
10/31/50,1.6
11/1/50,2.1
11/2/50,1.6
11/3/50,1.6
11/4/50,1.6
11/5/50,1.3
11/6/50,1.4
11/7/50,5.3
11/8/50,6.5
11/9/50,2
11/10/50,1.6
11/11/50,1.4
11/12/50,1.3
11/13/50,1.4
11/14/50,1.6
11/15/50,8.2
11/16/50,2.9
11/17/50,1.4
11/18/50,1.4
11/19/50,16
11/20/50,9.1
11/21/50,2.7
11/22/50,2.4
11/23/50,2.3
11/24/50,2
11/25/50,1.8
11/26/50,1.8
11/27/50,2
11/28/50,2
11/29/50,2.3
11/30/50,2.6
12/1/50,2.6
12/2/50,14
12/3/50,3.9
12/4/50,3.7
12/5/50,2.7
12/6/50,2.9
12/7/50,2.3
12/8/50,1.8
12/9/50,2
12/10/50,1.8
12/11/50,2.3
12/12/50,2.3
12/13/50,2.3
12/14/50,2.1
12/15/50,2
12/16/50,1.8
12/17/50,1.7
12/18/50,1.8
12/19/50,2
12/20/50,1.7
12/21/50,1.8
12/22/50,1.8
12/23/50,2.7
12/24/50,2.1
12/25/50,1.4
12/26/50,1.6
12/27/50,1.6
12/28/50,1.6
12/29/50,1.6
12/30/50,1.7
12/31/50,1.6
1/1/51,2.4
1/2/51,47
1/3/51,17
1/4/51,8.1
1/5/51,6.2
1/6/51,4.6
1/7/51,3.7
1/8/51,3.2
1/9/51,3.2
1/10/51,3.7
1/11/51,2.4
1/12/51,2.6
1/13/51,2.3
1/14/51,18
1/15/51,3.9
1/16/51,3.2
1/17/51,3.7
1/18/51,3.7
1/19/51,3.7
1/20/51,3.4
1/21/51,2.6
1/22/51,2.6
1/23/51,2.7
1/24/51,2.3
1/25/51,2.1
1/26/51,2
1/27/51,2
1/28/51,1.7
1/29/51,1.6
1/30/51,1.8
1/31/51,1.8
2/1/51,1.7
2/2/51,1.7
2/3/51,1.7
2/4/51,2.1
2/5/51,2.3
2/6/51,30
2/7/51,3.9
2/8/51,2.3
2/9/51,2.1
2/10/51,2.1
2/11/51,12
2/12/51,10
2/13/51,6.5
2/14/51,2.9
2/15/51,3.2
2/16/51,24
2/17/51,6.8
2/18/51,10
2/19/51,9.5
2/20/51,38
2/21/51,44
2/22/51,12
2/23/51,9.5
2/24/51,9
2/25/51,8
2/26/51,7
2/27/51,6
2/28/51,10
3/1/51,15
3/2/51,7.5
3/3/51,8
3/4/51,6
3/5/51,5.5
3/6/51,5
3/7/51,3.7
3/8/51,3.2
3/9/51,2.9
3/10/51,2.7
3/11/51,4.6
3/12/51,5
3/13/51,6.8
3/14/51,7.8
3/15/51,5.9
3/16/51,5.6
3/17/51,21
3/18/51,23
3/19/51,13
3/20/51,9.1
3/21/51,7.5
3/22/51,6.8
3/23/51,5.9
3/24/51,4.6
3/25/51,3.9
3/26/51,3.9
3/27/51,3.7
3/28/51,15
3/29/51,19
3/30/51,9.1
3/31/51,7.1
4/1/51,6.2
4/2/51,5.6
4/3/51,5.3
4/4/51,5.3
4/5/51,4.6
4/6/51,8.1
4/7/51,18
4/8/51,9.7
4/9/51,7.8
4/10/51,11
4/11/51,28
4/12/51,20
4/13/51,16
4/14/51,12
4/15/51,9.1
4/16/51,8.1
4/17/51,7.5
4/18/51,6.5
4/19/51,5.3
4/20/51,5
4/21/51,5.3
4/22/51,3.7
4/23/51,3.7
4/24/51,4.6
4/25/51,4.6
4/26/51,3.4
4/27/51,3.7
4/28/51,6.2
4/29/51,6.1
4/30/51,3.4
5/1/51,3.7
5/2/51,3.4
5/3/51,3.9
5/4/51,2.9
5/5/51,2.7
5/6/51,3.2
5/7/51,2.4
5/8/51,2.6
5/9/51,2.4
5/10/51,25
5/11/51,6.8
5/12/51,3.7
5/13/51,2.7
5/14/51,2.9
5/15/51,2.7
5/16/51,2.9
5/17/51,2.9
5/18/51,2.7
5/19/51,2.6
5/20/51,2.1
5/21/51,2.9
5/22/51,2.3
5/23/51,2
5/24/51,2
5/25/51,2
5/26/51,11
5/27/51,2.1
5/28/51,2
5/29/51,1.8
5/30/51,2
5/31/51,2.1
6/1/51,2.3
6/2/51,2.4
6/3/51,17
6/4/51,2
6/5/51,1.7
6/6/51,2
6/7/51,2
6/8/51,7.4
6/9/51,1.8
6/10/51,1.7
6/11/51,1.8
6/12/51,2.1
6/13/51,2.3
6/14/51,2
6/15/51,2
6/16/51,4
6/17/51,2
6/18/51,2.1
6/19/51,9.8
6/20/51,2.3
6/21/51,2.1
6/22/51,1.8
6/23/51,2
6/24/51,8.9
6/25/51,2
6/26/51,6.2
6/27/51,34
6/28/51,12
6/29/51,3.9
6/30/51,4.3
7/1/51,2.6
7/2/51,2.6
7/3/51,7.5
7/4/51,2.7
7/5/51,2
7/6/51,1.8
7/7/51,1.8
7/8/51,1.7
7/9/51,71
7/10/51,7.8
7/11/51,5.3
7/12/51,3.9
7/13/51,3.7
7/14/51,2.9
7/15/51,2.3
7/16/51,7.1
7/17/51,20
7/18/51,3.4
7/19/51,2.7
7/20/51,2.6
7/21/51,2.6
7/22/51,2.7
7/23/51,2.9
7/24/51,2.3
7/25/51,2.3
7/26/51,2
7/27/51,3.5
7/28/51,2
7/29/51,1.6
7/30/51,1.8
7/31/51,2
8/1/51,2
8/2/51,1.8
8/3/51,1.8
8/4/51,1.3
8/5/51,1.2
8/6/51,30
8/7/51,2.7
8/8/51,2.3
8/9/51,2.3
8/10/51,2.1
8/11/51,2
8/12/51,1.6
8/13/51,2
8/14/51,1.8
8/15/51,2
8/16/51,1.7
8/17/51,1.6
8/18/51,1.6
8/19/51,1.4
8/20/51,9.9
8/21/51,1.3
8/22/51,1.1
8/23/51,1.2
8/24/51,1.3
8/25/51,1.3
8/26/51,5.2
8/27/51,1.7
8/28/51,1.6
8/29/51,41
8/30/51,3.7
8/31/51,2.7
9/1/51,3.2
9/2/51,1.8
9/3/51,1.7
9/4/51,1.8
9/5/51,1.6
9/6/51,1.6
9/7/51,1.3
9/8/51,1.1
9/9/51,1.1
9/10/51,8.3
9/11/51,1.2
9/12/51,11
9/13/51,3.9
9/14/51,2
9/15/51,1.6
9/16/51,1.4
9/17/51,1.6
9/18/51,1.7
9/19/51,2
9/20/51,1.8
9/21/51,1.8
9/22/51,2
9/23/51,1.3
9/24/51,2
9/25/51,2.1
9/26/51,2.7
9/27/51,1.6
9/28/51,1.6
9/29/51,1.4
9/30/51,1.3
10/1/51,1.7
10/2/51,3.1
10/3/51,2.1
10/4/51,2.2
10/5/51,2.1
10/6/51,8.5
10/7/51,3.2
10/8/51,1.4
10/9/51,1.6
10/10/51,1.7
10/11/51,1.9
10/12/51,1.8
10/13/51,1.4
10/14/51,1.4
10/15/51,1.7
10/16/51,1.7
10/17/51,1.7
10/18/51,1.6
10/19/51,1.7
10/20/51,1.7
10/21/51,1.7
10/22/51,5.5
10/23/51,31
10/24/51,4.1
10/25/51,2.1
10/26/51,1.7
10/27/51,2.1
10/28/51,1.6
10/29/51,1.7
10/30/51,1.7
10/31/51,1.7
11/1/51,1.7
11/2/51,1.6
11/3/51,1.3
11/4/51,1.2
11/5/51,1.6
11/6/51,1.8
11/7/51,3.2
11/8/51,2.6
11/9/51,4.6
11/10/51,9.3
11/11/51,8.4
11/12/51,22
11/13/51,9.9
11/14/51,5.6
11/15/51,3.7
11/16/51,2.9
11/17/51,2.4
11/18/51,2
11/19/51,2.1
11/20/51,2.1
11/21/51,1.8
11/22/51,4
11/23/51,2.9
11/24/51,1.8
11/25/51,1.4
11/26/51,1.7
11/27/51,1.6
11/28/51,1.6
11/29/51,1.4
11/30/51,1.4
12/1/51,1.3
12/2/51,1.1
12/3/51,19
12/4/51,5
12/5/51,2.7
12/6/51,2.1
12/7/51,2
12/8/51,3.2
12/9/51,1.7
12/10/51,1.8
12/11/51,2.1
12/12/51,1.6
12/13/51,1.4
12/14/51,1.3
12/15/51,1.2
12/16/51,1
12/17/51,1
12/18/51,1
12/19/51,1.2
12/20/51,1.8
12/21/51,1.7
12/22/51,1.3
12/23/51,1.1
12/24/51,1.2
12/25/51,8.9
12/26/51,2.1
12/27/51,1.4
12/28/51,1.6
12/29/51,6.6
12/30/51,12
12/31/51,24
1/1/52,11
1/2/52,6.8
1/3/52,5
1/4/52,4.2
1/5/52,2.9
1/6/52,2.3
1/7/52,2.3
1/8/52,5
1/9/52,2.6
1/10/52,2.1
1/11/52,2
1/12/52,2.3
1/13/52,2.3
1/14/52,3.4
1/15/52,3.2
1/16/52,2.9
1/17/52,2.7
1/18/52,2.6
1/19/52,13
1/20/52,3.4
1/21/52,3.2
1/22/52,3.2
1/23/52,2.3
1/24/52,2.1
1/25/52,2.6
1/26/52,22
1/27/52,6.5
1/28/52,4.6
1/29/52,3.7
1/30/52,3.4
1/31/52,2.9
2/1/52,5.1
2/2/52,2.7
2/3/52,10
2/4/52,12
2/5/52,7.5
2/6/52,10
2/7/52,6.8
2/8/52,6.5
2/9/52,5.3
2/10/52,4.6
2/11/52,4.6
2/12/52,3.9
2/13/52,7.6
2/14/52,4.6
2/15/52,3.2
2/16/52,3.2
2/17/52,2.6
2/18/52,2.7
2/19/52,2.7
2/20/52,2.7
2/21/52,2.4
2/22/52,2.4
2/23/52,2.7
2/24/52,2.3
2/25/52,2.4
2/26/52,2.4
2/27/52,2.3
2/28/52,2.4
2/29/52,2.7
3/1/52,5.2
3/2/52,2.6
3/3/52,7
3/4/52,6.2
3/5/52,3.2
3/6/52,2.9
3/7/52,2.9
3/8/52,3.2
3/9/52,3.4
3/10/52,17
3/11/52,21
3/12/52,11
3/13/52,8.5
3/14/52,5.9
3/15/52,4.6
3/16/52,3.7
3/17/52,3.7
3/18/52,28
3/19/52,11
3/20/52,8.1
3/21/52,7.4
3/22/52,17
3/23/52,7.1
3/24/52,6.2
3/25/52,5.9
3/26/52,4.6
3/27/52,4.2
3/28/52,3.9
3/29/52,3.7
3/30/52,2.9
3/31/52,10
4/1/52,3.2
4/2/52,2.9
4/3/52,2.9
4/4/52,23
4/5/52,9.2
4/6/52,6.2
4/7/52,5.9
4/8/52,5.6
4/9/52,5
4/10/52,8.3
4/11/52,4.2
4/12/52,31
4/13/52,21
4/14/52,11
4/15/52,8.8
4/16/52,7.5
4/17/52,6.2
4/18/52,5.3
4/19/52,4.6
4/20/52,4.2
4/21/52,3.9
4/22/52,4.2
4/23/52,31
4/24/52,8.5
4/25/52,6.2
4/26/52,5.3
4/27/52,4.6
4/28/52,4.2
4/29/52,3.9
4/30/52,3.9
5/1/52,4.2
5/2/52,3.7
5/3/52,3.4
5/4/52,3.2
5/5/52,8.6
5/6/52,3.4
5/7/52,2.4
5/8/52,2.4
5/9/52,8.8
5/10/52,2.7
5/11/52,2.6
5/12/52,2.6
5/13/52,2.6
5/14/52,2.4
5/15/52,2.3
5/16/52,35
5/17/52,26
5/18/52,6.5
5/19/52,5.3
5/20/52,3.9
5/21/52,3.9
5/22/52,3.7
5/23/52,3.2
5/24/52,16
5/25/52,30
5/26/52,9.1
5/27/52,6.8
5/28/52,12
5/29/52,5.3
5/30/52,4.2
5/31/52,5.3
6/1/52,3.7
6/2/52,3.7
6/3/52,13
6/4/52,3.2
6/5/52,3.2
6/6/52,3.6
6/7/52,3.6
6/8/52,11
6/9/52,8.8
6/10/52,3.2
6/11/52,2.9
6/12/52,8.9
6/13/52,36
6/14/52,17
6/15/52,6.2
6/16/52,5.6
6/17/52,4.6
6/18/52,3.4
6/19/52,3.2
6/20/52,15
6/21/52,20
6/22/52,53
6/23/52,12
6/24/52,7.5
6/25/52,5.9
6/26/52,4.9
6/27/52,4.4
6/28/52,3.7
6/29/52,2.7
6/30/52,3.5
7/1/52,3.3
7/2/52,3.3
7/3/52,3.5
7/4/52,2.3
7/5/52,2.5
7/6/52,1.8
7/7/52,2.8
7/8/52,6.6
7/9/52,1.8
7/10/52,2.3
7/11/52,2.3
7/12/52,2.1
7/13/52,7.4
7/14/52,2.3
7/15/52,2.4
7/16/52,7.9
7/17/52,3.6
7/18/52,2.6
7/19/52,3
7/20/52,1.8
7/21/52,2.7
7/22/52,2.6
7/23/52,2.4
7/24/52,2.1
7/25/52,2.4
7/26/52,2.4
7/27/52,2
7/28/52,2.4
7/29/52,2
7/30/52,2.1
7/31/52,1.8
8/1/52,1.8
8/2/52,2
8/3/52,2.6
8/4/52,4.6
8/5/52,1.8
8/6/52,1.8
8/7/52,2.1
8/8/52,2.1
8/9/52,2.1
8/10/52,1.9
8/11/52,21
8/12/52,2.2
8/13/52,1.8
8/14/52,2
8/15/52,17
8/16/52,2.4
8/17/52,1.7
8/18/52,1.9
8/19/52,2.1
8/20/52,3.3
8/21/52,3.2
