port,latitude,longitude,county,in($)_1,in($)_2,in($)_3,in($)_4,in($)_5,in($)_6,in($)_7,in($)_8,out($)_1,out($)_2,out($)_3,out($)_4,out($)_5,out($)_6,out($)_7,out($)_8
"Plymouth, MA",41.98731,-70.71237,Plymouth,,,,,,,,,,,,,9413,,,
"Point Roberts, WA",49.00132,-123.06817,Whatcom,,,7686,,,,,566192,,44848,47736,27172,5353,,6407,15318
"Ponce, PR",17.97034,-66.61512,Ponce,,,,,,,27142119,,,,,,,,281035,
"Port Angeles, WA",47.97684,-123.53688,Clallam,,,,3139,,5472,,,,31231,2104912,296015,97408,1169023,1422377,100132
"Port Arthur, TX",29.96835,-94.02276,Jefferson,,,,,,,23409254,6500,,,,,,,,
"Port Canaveral, FL",28.40387,-80.6126,Brevard,,,310152,,,,9580628,89585190,,,188066,3900,8052,,64140603,
"Port Everglades, FL",26.09152,-80.12427,Broward,,22889990,520802955,15025896,389123698,51824558,231163120,1113732718,928404,9424925,465470924,56692922,330803814,100571648,406573889,66944325
"Port Hueneme, CA",34.14917,-119.20872,Ventura,,,321903364,,26151675,26050,514602,57216,,228446,25068951,80144,191843,55163,18285906,51969
"Port Huron, MI",42.97509,-82.42575,St. Clair,65044981,75491531,225084208,79536840,27971317,310130288,442725712,71128821,22076551,121596779,1104641518,523961397,233224857,581141177,1355689618,554025203
"Port Manatee, FL",27.63364,-82.56149,Manatee,,14854334,163341988,,,,24122703,,,,23100,5080,141120,102671,58613131,
"Port Sulphur, LA",29.47917,-89.69514,Plaquemines,,,,,,,,,,,12000,24558,,,,
"Port Townsend, WA",48.10765,-122.77973,Jefferson,,,,,,,,,,,35157,5607,,,,
"Portal, ND",48.99836,-102.55334,Burke,151046422,266569280,221069391,22740511,79283809,19893443,137744098,4425471,6263234,35744105,159534584,245530630,89660339,84676577,321834088,213968987
"Porthill, ID",48.99926,-116.49897,Boundary,,254567,1054722,,,,,5193354,8248,,36025,,,,182427,62583
"Portland International Airport, WA",45.58977,-122.59509,Multnomah,11500,,155488,256462,131919,,80922,116215,,18422,11355611,384490,1345354,7880,381792,29316
"Portland, ME",43.65758,-70.2406,Cumberland,21000,,6386834,9035,,,8380011,5011772,,,7097644,448353,,145584,3054557,
"Portland, OR",45.58809,-122.58908,Multnomah,,1641984,122315823,4064904,12297464,3466677,39655702,21932134,,1476437995,792328841,8861045,8429374,6334562,25656967,1881006
"Portsmouth, NH",43.08231,-70.76217,Rockingham,,,,40653,,43994,902772,42890,,,82958,,44831,95640,38272082,
"Presidio, TX",29.56207,-104.39064,Presidio,93808149,137568,19227541,,4912,,,,27069624,2833761,9276154,230125,,7437,1545518,
"Progreso, TX",26.06331,-97.94949,Hidalgo,,,122968011,7686,,3472,3752946,,,146859182,40266295,18211029,,11865861,3456591,
"Providence, RI",41.78885,-71.3836,Providence,,,1302,2452677,,,,160722617,,,,386525,,,102061,24736565
"Raymond, MT",48.99725,-104.57531,Sheridan,14978891,2510438,8144438,5253487,80978,3354311,2014540,,200599,154428,42343180,3371516,304813,157285,2056125,332417
"Reno, NV",39.50977,-119.7768,Washoe,,,,,,,,,,,,,8846,,,
"Richford, VT",45.01376,-72.66274,Franklin,,9160571,338837,3610334,,1056962,111159,,,27419,2747,740964,,,20496,
"Richmond, CA",37.9237,-122.389,Contra Costa,,,,,,,270881487,3085235,,,,,,,31184713,
"Richmond-Petersburg, VA",37.55266,-76.81064,King William,,,120847,451752,,,,,,,,,,,5260,
"Rio Grande City, TX",26.36729,-98.80143,Starr,,17266,100278339,,30578,506880,3053949,3433402,,1028401,71616,,,,146206,3168
"Rochester, NY",43.25574,-77.6073,Monroe,,,,43398,,,,,,,,7695,,19204,90935,
"Rockford Airport, IL",42.20193,-89.0956,Winnebago,,,679,6774,,,,,22400,,18754,146868,16720,,618318,
"Rockland, ME",44.10059,-69.10772,Knox,,,,,,,,,,,,,,12342,4961,
"Roma, TX",26.40408,-99.01683,Starr,,,607663,,,,251650,,,,741170,634984,,47618,83860,1497774
"Roseau, MN",48.9986,-95.76758,Roseau,,311249,967841,2323281,,4969330,,,,36051,,117743,,,5437,
"Sabine, TX",29.73355,-93.89433,Jefferson,,,,,,,,,,9390000,,,,,,
"Sacramento International Airport, CA",38.69509,-121.59006,Sacramento,,,,5655,,,,,,,,,,,,
"Saginaw-Bay City, MI",43.64289,-83.8513,Bay,,,,,,,,,,,93126,,40355,77499,34653,83353
"Salt Lake City, UT",40.78663,-111.98437,Salt Lake,,,105158,681,,13500,3139274,6012,1211906,,118130,40800,,,1223575,20821
"San Antonio, TX",29.38613,-98.5717,Bexar,,,,,,,,,,,40321,72513,102839,9618,45130,
"San Bernardino International Airport, CA",34.10085,-117.24668,San Bernardino,,,,,,,,,,,5968,,,,,
"San Diego, CA",32.73532,-117.17722,San Diego,,,202705526,206902,51587945,212800,2375445,226603,,177810,6134634,3541128,439297,48553,2400055,2114549
"San Francisco International Airport, CA",37.62131,-122.37896,San Mateo,1349030,9960,115608442,4826852,31575170,226269,23685798,4499727,4942858,110072,244088467,7944745,30142539,717659,33915081,35540232
"San Francisco, CA",37.79684,-122.39508,San Francisco,,179110,29230946,4718190,3461802,7909897,57744792,15623841,,25045724,15703458,1060777,625445,90044,12436441,157812
"San Jose International Airport, CA",37.36395,-121.92894,Santa Clara,,,,,,,7240,275453,,,976281,56772,4869,,235107,
"San Juan International Airport, PR",18.43758,-66.00398,Carolina,115000,,1965353,3000,147385,53590,263962,164014,150000,25692,44710,,,2123651,1359354,14145
"San Juan, PR",18.4632,-66.11316,San Juan,,81143777,150873194,20881556,212589570,69204664,247289895,205460553,26000,1006911,18259417,6628744,1742696,10206708,53311557,40901192
"San Luis, AZ",32.48541,-114.78146,Yuma,3810741,,197765530,4788,15676180,997706,5294551,,46400,2529,81495417,1740333,6261987,863128,4001274,239874
"San Ysidro, CA",32.54236,-117.03603,San Diego,,,,,,,,,,1251482,1698122,1776135,,13051072,10619211,109794
"Santa Teresa, NM",31.85586,-106.63919,Doña Ana,273939096,1049095,48765588,,,,124359316,,8767529,4000,8594554,,75118,1104398,16684464,5005
"Sarles, ND",48.99948,-98.93741,Cavalier,,148733,3870,,,,,,,,11778,,,,4600,
"Sasabe, AZ",31.48369,-111.54457,Pima,,,,,,,,,4500,,287008,,,,,
"Sault Ste Marie, MI",46.49487,-84.3681,Chippewa,32014,,2180457,116093,3324252,295208,13079752,503275,10913,339199,21396838,2696771,7054734,9723084,18112362,2729070
"Savannah, GA",32.12846,-81.15147,Chatham,2772386,42024758,444361297,83733718,605175522,83439347,1225696013,613161814,1349077,17423253,1976427650,211378742,1317014141,72848055,564551456,441838523
"Scobey, MT",48.99846,-105.40882,Daniels,,,92400,,,,,,,180928,654989,37138,,53430,34494,16196
"Seattle, WA",47.65573,-122.38008,King,,20911408,467437695,133646828,562192372,34013822,253723438,166558670,44386,563561274,2040366261,239859201,1079632573,69650439,1008467237,20200023
"Seattle-Tacoma International Airport, WA",47.45025,-122.30882,King,318111,,17501115,4197399,3450304,14944,27681237,155108,551982,27680,119743185,2829655,72290481,2033724,8994107,534289
"Selby, CA",38.04478,-122.18858,Contra Costa,,,,,,,,144231432,,,,,,,,
"Sherwood, ND",48.9979,-101.62837,Renville,,663110,9327640,,,,,,,,5549,,,,,
"Shreveport-Bossier City, LA",32.45446,-93.82315,Caddo,,,,,,,,,4464335,,,,,,1720176,
"Sioux Falls, SD",43.58732,-96.73448,Minnehaha,,,,,,,,,488749,,274287,5664,16337,,109816,
"Sitka, AK",57.05031,-135.33329,Sitka,,,,,405249,,,,,,,,39561,,,
"Skagway, AK",59.45026,-135.32377,Skagway,,,,,,,,,,28254,,242663,1164712,,,
"Sodus Point, NY",43.26776,-76.9797,Wayne,,,,,,,,,,15332,,,,,,
"Spokane, WA",47.76113,-117.39086,Spokane,,,,1510,,,2725,,,,,,,,,6569
"St. Albans, VT",44.80943,-73.08416,Franklin,,,,,,,,,,,,4275,,,270941,
"St. John, ND",48.99872,-99.65856,Rolette,,,2894169,,,,,,2566,8860,10526,62413,,,,
"St. Louis, MO",38.65195,-90.18375,St. Louis,,,,155692,,,,9493888,2552,,,,33517,,,
"St. Petersburg, FL",27.76086,-82.62982,Pinellas,,,,,,,,,,,,,64320,,,
"St. Rose, LA",29.96359,-90.248,Jefferson,,,,,,,,,,,,,,,14651139,
"Stockton, CA",37.95104,-121.32661,San Joaquin,,18442550,45667508,,,23517,5682885,5697,,177527000,,29211816,,,,
"Sumas, WA",49.00191,-122.26607,Whatcom,21249789,2954890,214409610,23200696,3982259,21170711,39726814,18692137,12129316,11748935,81674320,17789340,6442326,14974109,57268941,6798579
"Sweetgrass, MT",48.99818,-111.96028,Toole,267153408,47836456,89028450,88404820,623951810,44636714,191852625,4831497,20245128,8170428,583735960,63201656,82528470,64281136,190785830,39133249
"Syracuse, NY",43.11163,-76.12411,Onondaga,,,,,,,,24679,43323,,,,,,,
"Tacoma, WA",47.26547,-122.41231,Pierce,,5701816,108272186,87671280,108065848,10790717,97775802,31846574,15744,635587630,2413805774,451310174,842289157,81573241,802203645,23803583
"Tampa, FL",27.86039,-82.53211,Hillsborough,,1526223,3497603,1309695,9667080,399389,160539923,182131921,,636219,750132,38864956,484342,5054159,35731049,562869
"Tecate, CA",32.57697,-116.62716,San Diego,,,1467858,,,390339,3957641,2046059,,3316,307635,603614,107850,1449549,4978151,
"Texas City, TX",29.37578,-94.90327,Galveston,,,,,,,,,,,,3050,58664,72746,776475,579031383
"Toledo-Sandusky, OH",41.51237,-82.85821,Ottawa,,123458305,2872061,,,,11760,135374,,3324950,344254482,,,,70068,
"Tri-City Airport, Blountville, TN",36.47427,-82.40925,Sullivan,,,,,,,,,,,,,,,46264,
"Trout River, NY",44.9442,-74.323,Franklin,,483522,52586,6701111,,8336148,50635630,4413048,,796848,8882086,5908464,,,211868,8845785
"Tucson, AZ",32.12636,-110.84718,Pima,,,3884,,,,,,,,,7500,,,,
"Tulsa, OK",36.23061,-95.74023,Rogers,,,,,,,,,22915,,,,,,,
"Turner, MT",48.99934,-108.38916,Blaine,,67794,,17648,,,,,15075,,,93035,,,16461,
"Utica, NY",43.11811,-75.22836,Oneida,,,,,,,,,,,12670,,7353,5357,132662,
"Van Buren, ME",47.15773,-67.93286,Aroostook,,626657,913832,305778,26673928,,,,,485242,403154,,,,33289,
"Vanceboro, ME",45.56836,-67.4294,Washington,,,,851,,,,34543773,,,175945,884938,,,55832,
"Vancouver, WA",45.64329,-122.70387,Clark,,,42030,164397,,20930,111260,,,740782446,43003142,2855535,239160,92375,5989637,31296
"Ventura, CA",34.24527,-119.26331,Ventura,,,,,,,,,,,,,78450,,,
"Vicksburg, MS",32.34251,-90.87975,Warren,,,,,,,,,3566,,,,,,,
"Walhalla, ND",48.99874,-97.90862,Pembina,,2135487,36914729,,,,,,,30685,1135623,2609900,,,24157,
"Warroad, MN",48.98766,-95.37021,Roseau,,25494,142986,3546,2782240,25670,28855,762288,3291,59163,359957,162757,,3531,,21107
"Washington, DC",38.87642,-77.02169,District of Columbia,1528318,2644,10338419,16425240,8703038,241830,30605675,802979,3576967,75249,3838789,25018011,18141080,1413976,12781840,221993
"West Palm Beach, FL",26.76701,-80.05115,Palm Beach,,,19242379,280008,48494233,282798,52444902,7609636,359112,9405734,43914060,31835719,136330054,33341644,123113481,36903277
"Westhope, ND",48.9981,-101.01731,Bottineau,,223580,9534644,,,,,,2695,14323,149016,350437,,,,
"Whitetail, MT",41.75311,-71.06513,Bristol,,,,,,,,,,,,14637,,,100985,
"Whitlash, MT",48.99565,-111.25926,Liberty,,122746,,,,,,,,,,3675,,,,
"Willow Run Airport, Ypsilanti, MI",42.2378,-83.52429,Wayne,,,,572,,,,,,,,,,,,
"Wilmington, DE",39.71519,-75.52986,New Castle,,17107923,750631803,98703,27821951,11128188,145159095,3055452,133336364,702442,5217655,5301398,18362105,14802485,38764459,3614342
"Wilmington, NC",34.19627,-77.94833,New Hanover,,207563941,14163664,14014104,224886,6855264,20857900,10201171,,2127396,189065481,58003447,122606070,679991,16705397,304029
"Winston-Salem, NC",36.11145,-79.95294,Guilford,,,,,,,,,,,100403,381022,,,,
"Worcester, MA",42.25306,-71.80674,Worcester,,,,,542657,,,,,,,,,,,
