port,in($)_1,in($)_2,in($)_3,in($)_4,in($)_5,in($)_6,in($)_7,in($)_8,out($)_1,out($)_2,out($)_3,out($)_4,out($)_5,out($)_6,out($)_7,out($)_8,county,latitude,longitude,ll_county
"Baltimore, MD",,35172248.0,741666705.0,28758630.0,254539833.0,46370531.0,823719541.0,427001055.0,,2571089.0,31307655.0,22435978.0,74427784.0,19786436.0,93873038.0,14141006.0,,39.2860063,-76.609661,Baltimore
"Baltimore-Washington International Airport, MD",5390.0,,124675.0,103958.0,420049.0,7000.0,69495.0,,27730.0,,6687.0,,347301.0,,401273.0,,Anne Arundel County,39.1774042,-76.6683922,Anne Arundel
"Bangor, ME",,,,,,,,,,,41799.0,,13701.0,85598.0,48183.0,30555.0,Penobscot County,44.8069263,-68.823274,Penobscot
"Bar Harbor, ME",,,,,,,,,,,,,,14753.0,,,Hancock County,44.41361,-68.24611,Hancock
"Baton Rouge, LA",,,12802.0,,,,10613190.0,27600.0,,265962672.0,72422066.0,466851196.0,,,2727710.0,,West Baton Rouge Parish,30.4346355,-91.2014966,West Baton Rouge
"Battle Creek, MI",,,,,,,,,,,67151.0,,86896.0,13878.0,120713.0,,Calhoun County,42.3393947,-85.2768713,Calhoun
"Baudette, MN",,,,,,,,73838.0,,,211134.0,64033.0,13648194.0,125304.0,409060.0,220793.0,,48.7176199,-94.59421920000001,Lake of the Woods
"Beaufort-Morehead City, NC",,,965204.0,,,,,,,,,,,,34595.0,,Carteret County,34.7171727,-76.6650988,Carteret
"Beaumont, TX",,,,,,,,26585.0,,295176467.0,,,,,,,Jefferson County,30.0793963,-94.0923294,Jefferson
"Beecher Falls, VT",,,880477.0,,,,7174.0,,,,26774.0,,4274.0,,6741.0,,Essex County,45.012768,-71.5061018,Essex
"Belfast, ME",,,,,,,,,,13091.0,8629.0,,,,,,Waldo County,44.418767,-69.023522,Waldo
"Bellingham, WA",,,8716.0,5072684.0,4930075.0,,,,,186849.0,3597999.0,3680012.0,53609517.0,523884.0,498400.0,731875.0,Whatcom County,48.7574951,-122.4953805,Whatcom
"Blaine, WA",609570.0,26060239.0,317327397.0,299163468.0,525253797.0,191269956.0,326945050.0,21928199.0,8851499.0,27082716.0,1012538734.0,65768276.0,657351635.0,207567661.0,470778904.0,252921569.0,Whatcom County,48.99446700000001,-122.759004,Whatcom
"Boise, ID",,,,,,,,,,,,,,,24740.0,,Ada County,43.6116897,-116.2878962,Ada
"Boston, MA",,1749740.0,10283353.0,18832252.0,594292820.0,14417729.0,179856500.0,487797106.0,,113014.0,1638012.0,83795338.0,91244318.0,2297101.0,20948231.0,465541.0,Suffolk County,42.343651,-71.033022,Suffolk
"Boundary, WA",,,,,,,,,,2665.0,10104.0,3873.0,,,7595.0,,Stevens County,48.99875300000001,-117.6289533,Stevens
"Bridgeport, CT",,,7855.0,,,,,,,,,,,,,,Fairfield County,41.1750046,-73.1856273,Fairfield
"Bridgewater, ME",,200180.0,546731.0,,,,9301435.0,,,289649.0,1058748.0,,147826.0,103323.0,21273676.0,,Aroostook County,46.4502092,-67.7861707,Aroostook
"Brownsville, TX",445013.0,,31549345.0,9539836.0,15678902.0,17526.0,189839423.0,151189.0,4451623.0,10825865.0,383664267.0,26627296.0,11045927.0,7517831.0,120169539.0,15590173.0,Cameron County,25.9508669,-97.4109459,Cameron
"Brunswick, GA",,23578448.0,1369235.0,,2325.0,,,32933.0,,2064741.0,13867270.0,274674979.0,538455.0,6528950.0,,,Glynn County,31.131813,-81.5368539,Glynn
"Buffalo-Niagara Falls, NY",76755248.0,91101613.0,726354465.0,253875804.0,423029349.0,886986120.0,974321777.0,127189948.0,19372657.0,9682290.0,1079155274.0,192998464.0,363916937.0,408963254.0,1212037235.0,277323424.0,Niagara County,43.130626,-79.041359,Niagara
"Burlington, VT",,,,,,,,,,,69485.0,,,,265450.0,4504.0,Chittenden County,44.474218,-73.22138799999999,Chittenden
"Butte, MT",,,,,,,,,,,,,,,25820.0,9539.0,Silver Bow County,46.0010698,-112.6711893,Silver Bow
"Calais, ME",160446.0,,43721271.0,29341727.0,767749695.0,2073396.0,51201075.0,14699491.0,300672.0,54353.0,54362664.0,10114957.0,178729165.0,2855670.0,26971886.0,3684693.0,,45.1613254,-67.2990189,Washington
"Calexico, CA",,,,,,,,,,37809122.0,24541087.0,6399046.0,19510363.0,2441670.0,23060690.0,12261840.0,Imperial County,32.6651897,-115.496081,Imperial
"Calexico-East, CA",,6017302.0,357125253.0,3312540.0,168263916.0,191629679.0,169270621.0,63219540.0,12728.0,30270831.0,169937558.0,16590789.0,90860163.0,48029586.0,110861624.0,24890093.0,Imperial County,32.6655684,-115.499288,Imperial
"Camden, NJ",,,,,,,28838.0,,,,2147156.0,,,87711.0,396867.0,,Camden County,39.9376731,-75.1292216,Camden
"Cape Vincent, NY",,,,,,,,,,,125923.0,79782.0,,9934.0,7211.0,,Jefferson County,44.1289552,-76.3381761,Jefferson
"Carbury, ND",,,1333539.0,,,,,,,,,5660.0,,104105.0,,,Bottineau County,48.9976327,-100.5562352,Bottineau
"Champlain-Rouses Point, NY",7686511.0,15521927.0,216693518.0,65397739.0,403431250.0,88639720.0,350224058.0,40351235.0,31345107.0,2545175.0,455575114.0,41988453.0,161140739.0,55327974.0,388795387.0,37663129.0,Clinton County,45.0009143,-73.3677438,Clinton
"Charleston, SC",,18579721.0,803461034.0,117813852.0,40414873.0,58260367.0,232581751.0,216168713.0,1092905.0,3763263.0,415258000.0,111012879.0,340369689.0,58447425.0,229971607.0,424337326.0,Charleston County,32.7708321,-79.8968733,Charleston
"Charlotte Amalie, VI",,,532681.0,,329823.0,199266.0,796651.0,15473115.0,,,,,,,99577.0,703618.0,Water Island,18.3384508,-64.93970809999999,St. Thomas
"Charlotte, NC",4400.0,,1223471.0,3744521.0,1210229.0,11962.0,730624.0,3616.0,,,2188221.0,329706.0,2952.0,26283.0,1502869.0,23341.0,Mecklenburg County,35.2717325,-80.90949669999999,Mecklenburg
"Chester, PA",,,140340540.0,6711249.0,3610151.0,17448380.0,251447580.0,21719868.0,38450090.0,1217140.0,979546.0,668915.0,39060.0,441552.0,35407887.0,640423.0,Delaware County,39.8524144,-75.34194579999999,Delaware
"Chicago, IL",19289876.0,4592292.0,77341215.0,102538208.0,60236291.0,50695614.0,204203502.0,55829406.0,167562221.0,3428933.0,16185870.0,87615771.0,46550406.0,5734312.0,135903290.0,7083446.0,Cook County,41.7287385,-87.5334615,Cook
"Christiansted, VI",,,456726.0,,92654.0,124641.0,24382523.0,2927142.0,,,,,,,,109521.0,,17.7469291,-64.7075146,St. Croix
"Cincinnati-Lawrenceburg, OH",,3873.0,1007867.0,4030825.0,24611.0,94490.0,1035848.0,16462330.0,70581203.0,16400.0,394454.0,513957.0,,25927.0,2483538.0,652592.0,Hamilton County,39.09981399999999,-84.511977,Hamilton
"Cleveland, OH",4395.0,250418.0,19510713.0,18967949.0,127167.0,133888.0,11420059.0,1308112.0,2409908.0,24816.0,31824866.0,9644438.0,793893.0,959008.0,10221149.0,3935174.0,Cuyahoga County,41.5014293,-81.7028655,Cuyahoga
"Columbia, SC",,,650.0,,,,6500.0,451279.0,,,,,,,,,Lexington County,33.944432,-81.10952309999999,Lexington
"Columbus, NM",9676478.0,446102.0,36134242.0,,,97300.0,11330.0,,,,584660.0,93155.0,,,,,,31.7844155,-107.6276544,Luna
"Columbus, OH",,,156076.0,7698300.0,31248.0,93561.0,407010.0,19786.0,,,33434.0,8039.0,2759.0,,27493.0,,Franklin County,39.9999399,-82.8871767,Franklin
"Coos Bay, OR",,,,,,,,,,,295136.0,,,,,46440.0,Coos County,43.367748,-124.213429,Coos
"Coral Bay, VI",,,,,,,,,,,11461.0,4564.0,26946.0,4838.0,19530.0,9854.0,Cruz Bay,18.3320603,-64.79456309999999,St. John
"Corpus Christi, TX",,,,,,,,,,577278176.0,247936212.0,,,,,,Nueces County,27.8039563,-97.3932329,Nueces
"Crockett, CA",,,,,,,278454922.0,,,,,,,,,,Contra Costa County,38.0531281,-122.2252095,Contra Costa
"Cruz Bay, VI",,,,,,,,,,,,,,2956.0,304251.0,3145669.0,Cruz Bay,18.3320603,-64.79456309999999,St. John
"Dallas Love Field, Dallas, TX",,,,,,,,,5200.0,,,,,,,,Dallas County,32.8481029,-96.8512063,Dallas
"Dallas-Fort Worth, TX",740791.0,11385.0,9817748.0,27676024.0,21872756.0,123412.0,14915563.0,370626.0,2140208.0,42939.0,6702613.0,21157236.0,3201279.0,306124.0,13397895.0,1033052.0,Dallas County,32.910676,-97.0094811,Dallas
"Dalton Cache, AK",,,5075.0,,180486.0,,,,,,,,4106.0,,,,,59.4503047,-136.3612427,
"Danville, WA",,,,,,,,,,,24105.0,,,,,,Ferry County,48.9999383,-118.5035294,Ferry
"Dayton, OH",1852019.0,,,,,,,,1477300.0,,,,,,270833.0,,Montgomery County,39.7550722,-84.1854037,Montgomery
"Del Bonita, MT",,76401.0,22461.0,,,,,,14598.0,,3879619.0,17654.0,,,3264.0,,Division No. 3,48.9987334,-112.7879394,
"Del Rio, TX",36216787.0,,3247537.0,66964.0,,,367648.0,,137489.0,430903.0,7224099.0,3052951.0,225136.0,108802.0,99548.0,46986.0,Val Verde County,29.3340299,-100.9180082,Val Verde
"Denver, CO",242699.0,,905134.0,286308.0,4099922.0,8169.0,3576436.0,201020.0,1911088.0,,2095431.0,688188.0,89031.0,9093.0,4105960.0,578015.0,Denver County,39.7577895,-104.9861127,Denver
"Derby Line, VT",965387.0,5220129.0,53356303.0,25297001.0,17985703.0,15125188.0,67704588.0,939101.0,307485.0,,3156055.0,1173078.0,1183619.0,591295.0,3833052.0,481567.0,Orleans County,45.00450559999999,-72.0892837,Orleans
"Des Moines, IA",,,,,,,,,,,37416.0,,,,22438.0,,Polk County,41.5341333,-93.6587958,Polk
"Detour City, MI",,,,,,,,,,,60004.0,10000.0,,4564.0,30990.0,2897.0,NoData,NoData,NoData,NoData
"Detroit Metropolitan Airport, MI",4308133.0,272191.0,3557291.0,817316.0,495996.0,166970.0,1469872.0,59146.0,27976.0,34757.0,126867.0,34814.0,19723.0,19346.0,1588748.0,68675.0,Wayne County,42.2161722,-83.3553842,Wayne
"Detroit, MI",86857278.0,147510020.0,789444354.0,129763579.0,557382783.0,993786508.0,1343874895.0,340648173.0,4498282.0,213627303.0,1909557149.0,361951685.0,1862832114.0,865898159.0,1449329356.0,327323454.0,Wayne County,42.327535,-83.0412827,Wayne
"Douglas, AZ",65547817.0,,48514989.0,,,,313633.0,17371.0,306000.0,17380.0,96377198.0,1595164.0,39159.0,51545.0,614373.0,346363.0,Cochise County,31.384423,-109.516895,Cochise
"Duluth, MN - Superior, WI",,,,,675360.0,,,,,157585078.0,33012069.0,22894800.0,,,,,St Louis County,46.7572947,-92.1017691,St. Louis
"Dunseith, ND",106722012.0,13593193.0,54582610.0,2551936.0,,1417823.0,1767125.0,,431436.0,13852297.0,22832275.0,15931201.0,13954.0,961487.0,1054732.0,116141.0,Rolette County,48.9983331,-100.0522981,Rolette
"Durham, NC",,,173817.0,398135.0,617355.0,,2254301.0,116141.0,,,83768.0,40312.0,,,511152.0,,Wake County,35.8768885,-78.7926863,Wake
"Eagle Pass, TX",75591482.0,742407.0,32085348.0,15524330.0,,,186346806.0,1057730317.0,20141065.0,284871487.0,872095151.0,327032257.0,14309153.0,93042730.0,503943632.0,5639178.0,Maverick County,28.705596,-100.5061141,Maverick
"Eastport, ID",335264087.0,58691939.0,32748143.0,279563305.0,27895249.0,41536190.0,279213064.0,5413066.0,2682017.0,1567370.0,200880302.0,6099831.0,3386431.0,36811764.0,86948580.0,63771169.0,Boundary County,49.0001318,-116.1815088,Boundary
"Eastport, ME",,,,,3946795.0,,,,38311248.0,,13403.0,70968.0,40957565.0,10305.0,26660.0,,Washington County,44.9076241,-66.984036,Washington
"El Paso, TX",,141470.0,233170661.0,12192730.0,3862776.0,14043677.0,180318067.0,260662132.0,6508465.0,880023361.0,439916575.0,221455369.0,284084218.0,63736885.0,745490958.0,26559995.0,El Paso County,31.67214,-106.3353211,El Paso
"El Segundo, CA",,,,,,,51816.0,,,,,585000.0,155597.0,16007.0,1214464.0,,Los Angeles County,33.8965571,-118.3925726,Los Angeles
"Escanaba, MI",,,,,,,,8348.0,,,21242.0,,,32754.0,,,Delta County,45.7440779,-87.0446359,Delta
"Everett, WA",,,128462.0,,,,,603944.0,,10913.0,,,453770.0,21729.0,81043.0,,Snohomish County,48.0007168,-122.2173022,Snohomish
"Fabens, TX",,,,,,,,,,3380765.0,,,285001.0,,,,El Paso County,31.4352601,-106.1422299,El Paso
"Fall River, MA",,,28988.0,,176162.0,,,453323.0,,,,,,,14700.0,,Bristol County,41.7014912,-71.1550451,Bristol
"Fargo, ND",,,,,,,,,3044335.0,,,57168.0,,,,,Cass County,46.9196105,-96.8181729,Cass
"Fernandina, FL",,,,,385880.0,,,,,41179.0,3480524.0,544510.0,4287104.0,2530156.0,9219971.0,3330740.0,Nassau County,30.6277138,-81.55606689999999,Nassau
"Ferry, WA",,,,,,,,,,,51610.0,,,29591.0,69999.0,,Island County,48.1594884,-122.672507,Island
"Fort Fairfield, ME",,,130089.0,,,381813.0,10091814.0,,,96695.0,5695639.0,789879.0,135130.0,3629002.0,3165167.0,883926.0,Aroostook County,46.765749,-67.7899427,Aroostook
"Fort Kent, ME",,,28089.0,,,,,,395955.0,1249031.0,213027.0,,,,,,,47.2482649,-68.6028918,Aroostook
"Fort Myers Airport, FL",2850.0,,,,,2209.0,2135.0,4849.0,,,,,290258.0,,3160781.0,13745.0,Lee County,26.5337051,-81.7553083,Lee
"Fort Pierce, FL",,,,,469948.0,,,,,141763.0,342611.0,517457.0,1867607.0,867592.0,2741384.0,241254.0,St Lucie County,27.459089,-80.3263458,St. Lucie
"Fort Worth Alliance Airport, TX",,,,,,,,,,,,7310.0,,,,,Tarrant County,32.9873898,-97.3140628,Tarrant
"Fortuna, ND",,,2036.0,,,,,,,134669.0,122482.0,,,,,,,48.99853479999999,-103.8099643,Divide
"Freeport, TX",,,157945916.0,,10219000.0,1456778.0,3007959.0,2477.0,,53784274.0,59047632.0,844671.0,13800911.0,70188.0,2849900.0,924795.0,Brazoria County,28.9384127,-95.3482611,Brazoria
"Friday Harbor, WA",,,,,,,417942.0,,,,8426.0,,,,,,San Juan County,48.5364079,-123.0168624,San Juan
"Frontier, WA",,,,,,,,,39945.0,,647589.0,20533.0,,10067.0,314635.0,,Stevens County,48.99970860000001,-117.8316724,Stevens
"Ft. Lauderdale International Airport, FL",,,119227.0,,3339832.0,,,6228.0,2921495.0,,995411.0,18138.0,2499145.0,8899.0,163187.0,33724.0,Broward County,26.0742344,-80.1506022,Broward
"Galveston, TX",,,125966908.0,,,,,,135478466.0,262476667.0,428180.0,,8300.0,,19440.0,,Galveston County,29.3065514,-94.79707649999999,Galveston
"Georgetown, SC",,,1120.0,,,,,126220.0,,,,,,,,,Georgetown County,33.3608856,-79.2926912,Georgetown
"Gloucester City, NJ",,,,,,,,,,,38074.0,12600.0,389115.0,1116482.0,1435520.0,223113.0,Camden County,39.8985678,-75.1265227,Camden
"Gramercy, LA",,31227406.0,,,,,54169047.0,27003.0,,2543453044.0,7404269555.0,439636089.0,,5297730.0,143021289.0,4186269.0,St James Parish,30.0476399,-90.6899483,St. James
"Grand Forks, ND",,,,,,,,,,,26236.0,6260.0,,,281758.0,46030.0,Grand Forks County,47.942861,-97.176582,Grand Forks
"Grand Portage, MN",,,110263.0,,424957.0,,,269761.0,4001.0,246831.0,745288.0,1206049.0,6304.0,927387.0,455386.0,,Cook County,48.0000232,-89.58892740000002,Cook
"Grand Rapids, MI",,,5808.0,,,,,,,,,,,,465033.0,13601.0,Kent County,42.8847702,-85.5063677,Kent
"Great Falls, MT",,,8271.0,330823.0,,,,,,29420.0,537786.0,,431453.0,63519.0,305569.0,39112.0,Cascade County,47.48219,-111.269984,Cascade
"Green Bay, WI",,,,,,,2971365.0,,,,16522.0,,,,,57185173.0,Brown County,44.475864,-88.055172,Brown
"Greenville-Spartansburg, SC",,,953.0,8581.0,,,,71338.0,,,,,,,,,Greenville County,34.872685,-82.22863559999999,Greenville
"Gulfport, MS",,,253043016.0,441400.0,1049520.0,175654.0,1241423.0,648965.0,60480.0,417780.0,204147908.0,3095366.0,101810470.0,3571793.0,23329893.0,76664.0,Harrison County,30.368598,-89.093577,Harrison
"Hannah, ND",,35494.0,,,,,,,,,,,,,,,Cavalier County,48.99931,-98.6945381,Cavalier
"Hansboro, ND",,,4598834.0,,,,,,3198.0,,138574.0,,,,,,Towner County,48.9981385,-99.3484211,Towner
"Harrisburg, PA",,,,,,,,,,,,,,,29358.0,,Dauphin County,40.2640805,-76.8794826,Dauphin
"Hartford, CT",,,2430.0,,,,,,,,,,3725.0,,,,Hartford County,41.7480081,-72.6430661,Hartford
"Highgate Springs-Alburg, VT",18641872.0,28937003.0,43358185.0,31370357.0,5949570.0,26367926.0,261427404.0,18864044.0,1571586.0,,8429420.0,1398549.0,16894601.0,28645760.0,59456709.0,1472814.0,Franklin County,45.0128851,-73.0854626,Franklin
"Hildago, TX",39296712.0,6257015.0,1826533792.0,712329.0,1096006.0,116854015.0,327608741.0,3431514.0,1275254.0,25753617.0,228697263.0,23036616.0,285008012.0,6529008.0,70238299.0,18196680.0,Hidalgo County,26.0968854,-98.2699052,Hidalgo
"Hilo, HI",,,,,,,,,,,7867.0,,,,,27814.0,Hawaii County,19.7285403,-155.0540889,Hawaii
"Honolulu International Airport, HI",657020.0,2687.0,14249012.0,878279.0,13229004.0,338205.0,4074662.0,107993.0,442757.0,88067.0,15288618.0,1163282.0,19891352.0,482323.0,14520265.0,1297822.0,Honolulu County,21.3245132,-157.9250736,Honolulu
"Honolulu, HI",,9832228.0,16150673.0,2823224.0,43837903.0,16231445.0,32210943.0,47265034.0,,101436.0,6927447.0,696485.0,121335.0,577633.0,17991508.0,25134931.0,Honolulu County,21.3013326,-157.8651304,Honolulu
"Houlton, ME",3102349.0,854867.0,105336131.0,3874648.0,956622201.0,26873862.0,187739127.0,4118516.0,1935488.0,100659.0,69156346.0,7308511.0,109661336.0,8959265.0,25500587.0,8654841.0,Aroostook County,46.134631,-67.7825761,Aroostook
"Houston Intercontinental Airport, TX",3931729.0,19520.0,5497797.0,8133648.0,16442599.0,132743.0,11315019.0,464957.0,7571951.0,252960.0,5042995.0,4513506.0,1516766.0,924476.0,14734762.0,438703.0,Harris County,29.9902199,-95.3367827,Harris
"Houston, TX",,46942453.0,714970554.0,106965169.0,453519765.0,79911431.0,3630754293.0,1488276164.0,69358.0,1111487371.0,818956999.0,108902160.0,787982492.0,92094453.0,1032972224.0,509299654.0,Harris County,29.77003689999999,-95.2945694,Harris
"Huntsville, AL",,,105243.0,17968.0,,2092.0,9174025.0,2423.0,,,542785.0,4701887.0,15776.0,15697.0,2520283.0,48068.0,Madison County,34.6483274,-86.77484079999999,Madison
"Huron, OH",,,,,,,,,2753.0,10631.0,102228.0,87300.0,,74508.0,120473.0,58674.0,Madison County,34.6483274,-86.77484079999999,Madison
"Indianapolis, IN",,,12379.0,41014.0,6653.0,,358107.0,,13013666.0,,41796.0,565880.0,,,15924.0,20809.0,Marion County,39.7689961,-86.16135799999999,Marion
"International Falls-Ranier, MN",,309530535.0,14827078.0,61117680.0,249800.0,102132378.0,498185293.0,503462.0,,7600875.0,71174647.0,208215663.0,206069.0,8994870.0,84083632.0,152465641.0,Koochiching County,48.6055421,-93.4029212,Koochiching
"JFK International Airport, NY",151580947.0,79304.0,143042929.0,128729083.0,241078009.0,1481965.0,172779274.0,21534334.0,67233307.0,148539.0,62534069.0,56313826.0,219173382.0,3301000.0,131711170.0,39157021.0,Queens County,40.6413111,-73.77813909999999,Queens
"Jackman, ME",,3317523.0,7938169.0,3519892.0,1476762.0,392989.0,16635798.0,53712.0,,,74203.0,137302.0,193852.0,11233.0,5391678.0,,Somerset County,45.8054303,-70.3958389,Somerset
"Jacksonville, FL",,319497.0,240711099.0,6411573.0,241955799.0,5322626.0,97090605.0,9760509.0,49753.0,6264831.0,47282712.0,35611724.0,146796340.0,25466431.0,145441142.0,66447470.0,Duval County,30.356184,-81.625047,Duval
"Jonesport, ME",,,,,,,,,,,,22908.0,21540.0,238223.0,129582.0,,Washington County,44.5347969,-67.5930111,Washington
"Juneau, AK",,,,,147158.0,,,,,,12083.0,,544311.0,,,,Juneau,58.2986111,-134.4055556,Juneau
"Kahului, HI",,,,,,,,,,,133249.0,,,,10250.0,,Maui County,20.894208,-156.4668209,Maui
"Kalama, WA",,,,,,,,,,1508344769.0,2038065660.0,23965828.0,,,,,Cowlitz County,46.0057055,-122.8460479,Cowlitz
"Kansas City, MO",,,,86263.0,,3704.0,885570.0,3662652.0,4709.0,,,,,,15300.0,,Jackson County,39.1090016,-94.5860261,Jackson
"Kenmore Air Harbor, WA",,,,,,,,,,,,,3282.0,,,34912.0,King County,47.628574,-122.33983,King
"Ketchikan, AK",,,,,61300.0,,,,,,,,2550262.0,,52571.0,,Ketchikan Gateway,55.3516833,-131.6838562,Ketchikan Gateway
"Key West, FL",,,8133.0,,,,,,,,27974.0,,25377.0,12314.0,13130.0,357586.0,Monroe County,24.561146,-81.8012645,Monroe
"Knoxville, TN",,,,,,,,,,,10040.0,,,,,,Knox County,35.957303,-83.842681,Knox
"Kona, HI",,,,,76012.0,,,,,,3506458.0,,,,3953703.0,,Hawaii County,19.6393742,-155.9969544,Hawaii
"Lake Charles, LA",,,,,,,,,,189232021.0,9136496.0,,17300.0,8415709.0,3774662.0,,Calcasieu Parish,30.2158233,-93.2497472,Calcasieu
"Lancaster, MN",,,434415.0,,,,,16554.0,,,63068.0,,,,,,Kittson County,48.9981272,-96.80034769999999,Kittson
"Laredo, TX",26485872.0,1958000.0,1316641019.0,157935714.0,364044458.0,515330880.0,1714109951.0,779619818.0,23270457.0,1083488902.0,948569107.0,604957512.0,2041421775.0,307930445.0,2339552204.0,297711783.0,Webb County,27.6798234,-99.455272,Webb
"Las Vegas, NV",16950.0,,1617000.0,99671.0,540261.0,2846.0,524340.0,9439652.0,,,1635166.0,19827.0,122299.0,10915.0,1775052.0,27342.0,Clark County,36.1617161,-115.1736045,Clark
"Laurier, WA",,,,,,,,,,,497883.0,,,,,,Ferry County,48.9993776,-118.2243776,Ferry
"Limestone, ME",,267356.0,75126.0,,,,,,,345229.0,195526.0,,,,31372.0,,Aroostook County,46.92495599999999,-67.790007,Aroostook
"Little Rock, AR",,,,,,,4548261.0,8386564.0,37772.0,,3781.0,7339.0,,,,,Pulaski County,34.7176717,-92.1746107,Pulaski
"Logan Airport, MA",469381.0,,8789190.0,8544055.0,64027416.0,21332.0,4090231.0,342361.0,8111385.0,,775484.0,2234822.0,82993401.0,12640.0,4800158.0,2660.0,Suffolk County,42.3656132,-71.0095602,Suffolk
"Long Beach, CA",,14179054.0,256640912.0,63233227.0,312279193.0,62155463.0,265531670.0,300924403.0,,112189730.0,3158322213.0,1684361511.0,1035948584.0,191907093.0,1365439886.0,139069150.0,Los Angeles County,33.754185,-118.216458,Los Angeles
"Longview, WA",,,15811.0,6283.0,,,53203.0,,,828788525.0,1049935702.0,76759838.0,,,,6829.0,Cowlitz County,46.108014,-122.9519764,Cowlitz
"Los Angeles International Airport, CA",38453751.0,,277355062.0,38684329.0,239181267.0,1108512.0,77390044.0,3500315.0,78260377.0,260709.0,463156788.0,9524490.0,53328523.0,3934071.0,249470728.0,32074676.0,Los Angeles County,33.9415889,-118.40853,Los Angeles
"Los Angeles, CA",508000.0,190620849.0,1950012937.0,580336811.0,4177936642.0,466448063.0,2026630580.0,1454774519.0,85860.0,138166310.0,4167755954.0,1890000112.0,1829355217.0,134882532.0,1698089520.0,151457411.0,Los Angeles County,33.7395459,-118.2599686,Los Angeles
"Louisville, KY",,,347666.0,852947.0,,8700.0,471616.0,123693237.0,,9197.0,257855.0,216967.0,,,598395.0,20252.0,Jefferson County,38.1646749,-85.90006699999999,Jefferson
Low Value,,,,,,,,,4253882.0,5256109.0,709016557.0,59679959.0,45404077.0,67162084.0,273226301.0,54010061.0,Mumbai,19.0024811,72.82496069999999,
"Lukeville, AZ",,,,,30603.0,,33136.0,,,,189796.0,,29328.0,,,20349.0,Pima County,31.8804244,-112.8169016,Pima
