Port,Commodity,Customs Value (Gen) ($US),Vessel Customs Value (Gen) ($US),Vessel SWT (Gen) (kg),Air Customs Value (Gen) ($US),Air SWT (Gen) (kg),Customs Containerized Vessel Value (Gen) ($US),Containerized Vessel SWT (Gen) (kg)
"Anchorage, AK (Port)","0603 Cut Flowers & Buds For Bouquets Etc., Prepared",33536,,,33536,7891,,
"Anchorage, AK (Port)","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared",9441,,,9441,3811,,
"Anchorage, AK (Port)","0706 Carrots, Turnips & Other Edible Roots, Fr Or Chill",10886,,,10886,79,,
"Anchorage, AK (Port)","0712 Vegetables, Dried, Whole, Cut Etc., No Added Prep",46193,,,46193,6138,,
"Anchorage, AK (Port)","0713 Leguminous Vegetables, Dried Shelled",6550,,,6550,1520,,
"Anchorage, AK (Port)","0802 Nuts Nesoi, Fresh Or Dried",6000,,,6000,515,,
"Anchorage, AK (Port)",0901 Coffee; Coffee Husks Etc; Substitutes With Coffee,15400,,,15400,504,,
"Anchorage, AK (Port)","0902 Tea, Whether Or Not Flavored",355654,,,355654,15716,,
"Anchorage, AK (Port)","0904 Pepper, Genus Piper; Genus Capsicum Or Pimenta",2325,,,2325,2,,
"Anchorage, AK (Port)","0908 Nutmeg, Mace And Cardamoms",22585,,,22585,4474,,
"Anchorage, AK (Port)","0910 Ginger, Saffron, Tumeric, Thyme, Bay Leaves Etc.",28556,,,28556,228,,
"Anchorage, AK (Port)","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.",23600,,,23600,2150,,
"Anchorage, AK (Port)","1206 Sunflower Seeds, Whether Or Not Broken",6266,,,6266,2,,
"Anchorage, AK (Port)","1207 Oil Seeds & Oleaginous Fruits Nesoi, Broken Or Not",24532,,,24532,89,,
"Anchorage, AK (Port)","1209 Seeds, Fruit And Spores, For Sowing",811566,,,811566,1671,,
"Anchorage, AK (Port)","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc",169596,,,169596,1248,,
"Anchorage, AK (Port)","1212 Locust Beans, Seaweed, S Beet & Cane; Fr Pits Etc.",20965,,,20965,606,,
"Anchorage, AK (Port)","1301 Lac; Natural Gums, Resins, Gum-resins And Balsams",70648,,,70648,613,,
"Anchorage, AK (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,4043753,,,4043753,26297,,
"Anchorage, AK (Port)","1401 Vegetable Plaiting Materials (bamboos, Reeds Etc.)",22699,,,22699,2399,,
"Anchorage, AK (Port)","1504 Fats & Oils, Their Fractions, Fish & Marine Mammal",13198,,,13198,1451,,
"Anchorage, AK (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",55195,,,55195,1430,,
"Anchorage, AK (Port)","1603 Extracts Etc. Of Meat, Fish, Crustaceans, Etc.",8037,,,8037,21,,
"Anchorage, AK (Port)","1701 Cane Or Beet Sugar & Chem Pure Sucrose, Solid Form",84371,84371,90902,,,84371,90902
"Anchorage, AK (Port)","1702 Sugars Nesoi, Incl Chem Pure Lactose Etc; Caramel",9705,,,9705,153,,
"Anchorage, AK (Port)","1704 Sugar Confection (incl White Chocolate), No Cocoa",133784,,,133784,21803,,
"Anchorage, AK (Port)","1805 Cocoa Powder, Not Sweetened",34593,,,34593,3354,,
"Anchorage, AK (Port)",1806 Chocolate & Other Food Products Containing Cocoa,9852,,,9852,488,,
"Anchorage, AK (Port)",1901 Malt Ext; Food Prep Of Flour Etc Un 40% Cocoa Etc,15223,,,15223,365,,
"Anchorage, AK (Port)","1902 Pasta, Prepared Or Not; Couscous, Prepared Or Not",21201,,,21201,6508,,
"Anchorage, AK (Port)","2004 Vegetables Nesoi Prepared Or Preserv Nesoi, Frozen",4359,,,4359,25,,
"Anchorage, AK (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",31633,,,31633,7975,,
"Anchorage, AK (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",35622,,,35622,4727,,
"Anchorage, AK (Port)",2009 Fruit Juice Nt Frtfd W Vit/mnl Veg Juice No Spirit,5250,,,5250,1562,,
"Anchorage, AK (Port)","2101 Extracts Etc Of Coffee, Tea Or Mate; Roast Chicory",157716,,,157716,1919,,
"Anchorage, AK (Port)",2102 Yeasts; Dead Sing-cell Micro-org Nesoi; Bak Powder,14700,,,14700,61,,
"Anchorage, AK (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",10908,,,10908,1923,,
"Anchorage, AK (Port)","2104 Soups, Broths & Preps; Homogenized Comp Food Preps",2376,,,2376,302,,
"Anchorage, AK (Port)",2106 Food Preparations Nesoi,6517590,3391968,2479096,3125622,197462,3383820,2478598
"Anchorage, AK (Port)",2204 Wine Of Fresh Grapes; Grape Must Nesoi,158957,,,158957,7326,,
"Anchorage, AK (Port)","2208 Ethyl Alcohol, Undenat, Und80% Alc; Spirit Beverag",2237,,,,,,
"Anchorage, AK (Port)","2302 Bran, Sharps Etc From Working Cereals & Leg Plants",117188,117188,540727,,,,
"Anchorage, AK (Port)",2309 Preparations Used In Animal Feeding,60151,,,60151,11518,,
"Anchorage, AK (Port)",4101 Raw Hides & Skins Of Bovine Or Equine Animals,7765,,,7765,305,,
"Anchorage, AK (Port)",4102 Raw Skins Of Sheep Or Lambs Nesoi,300,,,300,10,,
"Anchorage, AK (Port)",4103 Raw Hides And Skins Nesoi (fr Or Pres Not Tan Etc),36797,,,36797,334,,
"Anchorage, AK (Port)","4104 Bovine Or Equine Leather, No Hair Nesoi",18966,,,18966,769,,
"Anchorage, AK (Port)","4105 Sheep Or Lamb Skin Leather, No Wool Nesoi",26894,,,26894,746,,
"Anchorage, AK (Port)","4106 Other Animal N Leather, No Hair Nesoi",68007,,,68007,1446,,
"Anchorage, AK (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",472789,,,472789,16646,,
"Anchorage, AK (Port)","4112 Sheep/lamb Ltr,ft Prp Tan/crus, W/o Wool,nt Hd4114",44359,,,44359,1065,,
"Anchorage, AK (Port)","4113 Lthr Fthr Perp After Tanning,of Oth Aml, W/o Wl/hr",221419,,,221419,6186,,
"Anchorage, AK (Port)",4114 Chamois/patent/patent Laminated/metallized Leather,39775,,,39775,2309,,
"Anchorage, AK (Port)","4115 Comps. Lthr,fbr Slb/sht/srp;lthr Wst/dust/pwd/flou",89049,,,89049,8186,,
"Anchorage, AK (Port)","5101 Wool, Not Carded Or Combed",261,,,261,6,,
"Anchorage, AK (Port)","5102 Fine Or Coarse Animal Hair, Not Carded Or Combed",7204,,,7204,190,,
"Anchorage, AK (Port)","5105 Wool & Fine Or Coarse Animal Hair, Carded & Combed",15781,,,15781,1321,,
"Anchorage, AK (Port)","5106 Yarn Of Carded Wool, Not Put Up For Retail Sale",12388,,,12388,223,,
"Anchorage, AK (Port)","5107 Yarn Of Combed Wool, Not Put Up For Retail Sale",64904,,,64904,2759,,
"Anchorage, AK (Port)","5108 Yarn Of Fine Animal Hair, Not For Retail Sale",66841,,,66841,924,,
"Anchorage, AK (Port)","5109 Yarn Of Wool Or Fine Animal Hair, For Retail Sale",183987,,,183987,2993,,
"Anchorage, AK (Port)",5110 Yarn Coarse Animal Hair Put Up Or Not Retail Sale,40932,,,40932,4630,,
"Anchorage, AK (Port)",5111 Woven Fabrics Of Carded Wool Or Fine Animal Hair,198962,,,198962,10123,,
"Anchorage, AK (Port)",5112 Woven Fabrics Of Combed Wool Or Fine Animal Hair,389920,,,389920,6877,,
"Anchorage, AK (Port)",5113 Woven Fabrics Of Coarse Animal Hair Or Horsehair,14415,,,14415,142,,
"Anchorage, AK (Port)",5202 Cotton Waste (including Yarn Waste Etc.),1233,,,1233,154,,
"Anchorage, AK (Port)","5203 Cotton, Carded Or Combed",6330,,,6330,216,,
"Anchorage, AK (Port)","5204 Cotton Sewing Thread, Retail Packed Or Not",40967,,,40967,762,,
"Anchorage, AK (Port)",5205 Cotton Yarn (not Sewing Thread) Nu85%cot No Retail,17298,,,17298,1587,,
"Anchorage, AK (Port)",5206 Cotton Yarn (not Sewing Thread) Un85%cot No Retail,5732,,,5732,699,,
"Anchorage, AK (Port)",5207 Cotton Yarn (not Sewing Thread) Retail Packed,36333,,,36333,1204,,
"Anchorage, AK (Port)","5208 Woven Cotton Fabrics, Nu 85% Cot, Wt Nov 200 G/m2",861531,,,861531,46001,,
"Anchorage, AK (Port)","5209 Woven Cotton Fabrics, Nu 85% Cot, Wt Ov 200 G/m2",746954,,,746954,46504,,
"Anchorage, AK (Port)","5210 Woven Cotton Fabrics, Un85%cot, mmfmix, Nov200g/m2",284645,,,284645,11941,,
"Anchorage, AK (Port)","5211 Woven Cotton Fabrics, Un85%cot, mmfmix, Ov200g/m2",131933,,,131933,9156,,
"Anchorage, AK (Port)",5212 Woven Cotton Fabrics Nesoi,235502,,,235502,8773,,
"Anchorage, AK (Port)","5302 True Hemp, Raw Etc Not Spun; Tr Hemp Tow And Waste",500,,,500,18,,
"Anchorage, AK (Port)","5303 Jute & Oth Text Bast Fib Nesoi, Raw Etc & Tow Etc",265,,,265,7,,
"Anchorage, AK (Port)","5305 Coconut, Abaca, Ramie Etc Nesoi, Raw Etc; Tow Etc",703,,,703,153,,
"Anchorage, AK (Port)",5306 Flax Yarn,5804,,,5804,435,,
"Anchorage, AK (Port)",5307 Yarn Of Jute & Other Textile Bast Fibers Nesoi,295,,,295,22,,
"Anchorage, AK (Port)",5308 Yarn Of Vegetable Textile Fibers Nesoi; Paper Yarn,5158,,,5158,259,,
"Anchorage, AK (Port)",5309 Woven Fabrics Of Flax,166091,,,166091,7847,,
"Anchorage, AK (Port)",5310 Woven Fabrics Of Jute Or Oth Text Bast Fiber Nesoi,4805,,,4805,198,,
"Anchorage, AK (Port)",5311 Wov Fab Of Ot Veg Textile Fib Wov Fab Of ppr Yarn,38956,,,38956,986,,
"Dalton Cache, AK (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",180486,180486,13529,,,,
"Dalton Cache, AK (Port)","1214 Rutabagas, Hay, Clover & Other Forage Products",5075,,,,,,
"Juneau, AK (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",147158,147158,12541,,,,
"Ketchikan, AK (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",61300,61300,4979,,,,
"Sitka, AK (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",405249,405249,32111,,,,
"Wrangell, AK (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",850192,850192,113555,,,,
"Annapolis, MD (Port)","2001 Veg, Fruit, Nuts Etc, Prep Or Pres By Vinegar Etc",43085,43085,18320,,,43085,18320
"Annapolis, MD (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",50918,50918,36890,,,50918,36890
"Annapolis, MD (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",26040,26040,14628,,,26040,14628
"Annapolis, MD (Port)",2204 Wine Of Fresh Grapes; Grape Must Nesoi,62438,62438,11754,,,62438,11754
"Annapolis, MD (Port)",2309 Preparations Used In Animal Feeding,30051,30051,10044,,,30051,10044
"Baltimore, MD (Port)","0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",804702,804702,257031,,,804702,257031
"Baltimore, MD (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",7473339,7473339,1804228,,,7473339,1804228
"Baltimore, MD (Port)","0304 Fish Fillets & Oth Fish Meat, Fresh, Chill Or Froz",96753730,96753730,23365518,,,96753730,23365518
"Baltimore, MD (Port)","0305 Fish, Dried, Salted Etc, Smoked Etc; Ed Fish Meal",2865465,2865465,537128,,,2865465,537128
"Baltimore, MD (Port)",0306 Crustaceans Live Frsh Etc Smoked/cooked Flours Etc,6887154,6887154,1171239,,,6887154,1171239
"Baltimore, MD (Port)",0307 Molluscs Live Fresh Etc; Smoked; Flours Etc Edible,8095129,8095129,2617918,,,8095129,2617918
"Baltimore, MD (Port)",0308 Aquatic Inverteb Live Etc; Smoked; Flour Etc Nesoi,42129,42129,6123,,,42129,6123
"Baltimore, MD (Port)","0402 Milk And Cream, Concentrated Or Sweetened",856541,856541,432759,,,856541,432759
"Baltimore, MD (Port)",0406 Cheese And Curd,75860,75860,14955,,,75860,14955
"Baltimore, MD (Port)","0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",65318,65318,21406,,,65318,21406
"Baltimore, MD (Port)","0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",138828,138828,67820,,,138828,67820
"Baltimore, MD (Port)","0409 Honey, Natural",2604674,2604674,941072,,,2604674,941072
"Baltimore, MD (Port)",0505 Bird Skins & Other Feathered Parts And Down,6972,6972,5250,,,6972,5250
"Baltimore, MD (Port)","0506 Bones & Horn-cores, Unworked Etc; Powder & Waste",33258,33258,19808,,,33258,19808
"Baltimore, MD (Port)","0507 Ivory, Tortoise-shell, Whalebone, Horns Etc, Unwrk",111319,111319,140910,,,111319,140910
"Baltimore, MD (Port)","0508 Coral, Shell Of Molluscs Etc Unworked Powder/waste",23285,23285,20597,,,23285,20597
"Baltimore, MD (Port)","0511 Animal Products Nesoi; Dead Animals, Inedible Etc.",9857826,9857826,1441352,,,9857826,1441352
"Baltimore, MD (Port)","0603 Cut Flowers & Buds For Bouquets Etc., Prepared",9280,9280,856,,,9280,856
"Baltimore, MD (Port)","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared",272679,272679,73934,,,272679,73934
"Baltimore, MD (Port)","0703 Onions, Shallots, Garlic, Leeks Etc, Fr Or Chilled",278979,278979,523509,,,278979,523509
"Baltimore, MD (Port)","0706 Carrots, Turnips & Other Edible Roots, Fr Or Chill",63348,63348,78508,,,63348,78508
"Baltimore, MD (Port)","0709 Vegetables Nesoi, Fresh Or Chilled",39888,39888,12070,,,39888,12070
"Baltimore, MD (Port)","0710 Vegetables (raw Or Cooked By Steam Etc), Frozen",18653010,18653010,9307971,,,18653010,9307971
"Baltimore, MD (Port)","0711 Vegetables, Temporarily Preserved, Not Now Edible",74428,74428,32961,,,74428,32961
"Baltimore, MD (Port)","0712 Vegetables, Dried, Whole, Cut Etc., No Added Prep",20283105,20283105,10333888,,,20225439,10329471
"Baltimore, MD (Port)","0713 Leguminous Vegetables, Dried Shelled",3111371,3111371,5082847,,,3016573,4982627
"Baltimore, MD (Port)","0714 Cassava, Arrowroot Etc, Fresh Or Dry; Sago Pith",309585,309585,263377,,,309585,263377
"Baltimore, MD (Port)","0801 Coconuts, Brazil Nuts & Cashew Nuts, Fresh Or Dry",1208359,1208359,283221,,,1164654,257820
"Baltimore, MD (Port)","0802 Nuts Nesoi, Fresh Or Dried",6890498,6890498,789333,,,6890498,789333
"Baltimore, MD (Port)","0803 Bananas, Including Plantains, Fresh Or Dried",1358153,1358153,548457,,,1358153,548457
"Baltimore, MD (Port)","0804 Dates, Figs, Pineapples, Avocados Etc, Fr Or Dried",990118,990118,245959,,,990118,245959
"Baltimore, MD (Port)","0805 Citrus Fruit, Fresh Or Dried",251266,251266,370821,,,251266,370821
"Baltimore, MD (Port)","0806 Grapes, Fresh Or Dried",479162,479162,209698,,,479162,209698
"Baltimore, MD (Port)","0808 Apples, Pears And Quinces, Fresh",1482939,1482939,492107,,,1482939,492107
"Baltimore, MD (Port)","0810 Fruit Nesoi, Fresh",165564,165564,68258,,,165564,68258
"Baltimore, MD (Port)","0811 Fruit & Nuts (raw Or Cooked By Steam Etc), Frozen",3389199,3389199,1206863,,,3389199,1206863
"Baltimore, MD (Port)","0812 Fruit & Nuts Temporarily Preserved, Not Now Edible",336190,336190,61215,,,336190,61215
"Baltimore, MD (Port)",0813 Fruit Dried Nesoi; Mixtures Of Nuts Or Dried Fruit,9004429,9004429,2202901,,,9004429,2202901
"Baltimore, MD (Port)","0814 Peel, Citrus Or Melon, Frsh/frzn/dried/provsl Pres",76736,76736,23140,,,76736,23140
"Baltimore, MD (Port)",0901 Coffee; Coffee Husks Etc; Substitutes With Coffee,415203568,415203568,68183434,,,415203568,68183434
"Baltimore, MD (Port)","0902 Tea, Whether Or Not Flavored",787029,769047,95533,17982,4226,769047,95533
"Baltimore, MD (Port)","0904 Pepper, Genus Piper; Genus Capsicum Or Pimenta",163237310,163237310,28533819,,,163237310,28533819
"Baltimore, MD (Port)",0905 Vanilla,394159,394159,15435,,,394159,15435
"Baltimore, MD (Port)",0906 Cinnamon And Cinnamon-tree Flowers,11552429,11552429,8354207,,,11552429,8354207
"Baltimore, MD (Port)","0907 Cloves (whole Fruit, Cloves And Stems)",2912929,2912929,232483,,,2912929,232483
"Baltimore, MD (Port)","0908 Nutmeg, Mace And Cardamoms",5514546,5514546,435272,,,5514546,435272
"Baltimore, MD (Port)",0909 Seeds Anise Badian Fennl Coriandr Etc; Junpr Berrs,12320509,12320509,4555053,,,12320509,4555053
"Baltimore, MD (Port)","0910 Ginger, Saffron, Tumeric, Thyme, Bay Leaves Etc.",16248151,16248151,4659319,,,16220389,4635853
"Baltimore, MD (Port)",1001 Wheat And Meslin,520815,520815,1058120,,,520815,1058120
"Baltimore, MD (Port)",1003 Barley,44404,44404,12034,,,44404,12034
"Baltimore, MD (Port)",1005 Corn (maize),3375384,3375384,6330664,,,3375384,6330664
"Baltimore, MD (Port)",1006 Rice,30464156,30464156,27218808,,,30464156,27218808
"Baltimore, MD (Port)","1008 Buckwheat, Millet And Canary Seeds; Other Cereals",767489,767489,937209,,,767489,937209
"Baltimore, MD (Port)",1101 Wheat Or Meslin Flour,791579,791579,1180753,,,791579,1180753
"Baltimore, MD (Port)","1102 Cereal Flours, Except Of Wheat Or Of Meslin",258485,258485,267913,,,258485,267913
"Baltimore, MD (Port)","1103 Cereal Groats, Meal And Pellets",12435,12435,3199,,,12435,3199
"Baltimore, MD (Port)","1104 Cereal Grains, Worked Etc Nesoi; Cereal Germs, Wrk",178949,178949,112107,,,178949,112107
"Baltimore, MD (Port)","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.",29718,29718,22913,,,29718,22913
"Baltimore, MD (Port)","1107 Malt, Whether Or Not Roasted",205363,205363,269603,,,205363,269603
"Baltimore, MD (Port)",1108 Starches; Inulin,1507932,1507932,1090475,,,1507932,1090475
"Baltimore, MD (Port)","1109 Wheat Gluten, Whether Or Not Dried",2724742,2724742,2378888,,,2724742,2378888
"Baltimore, MD (Port)","1201 Soybeans, Whether Or Not Broken",7731692,7731692,9873681,,,7731692,9873681
"Baltimore, MD (Port)","1204 Flaxseed (linseed), Whether Or Not Broken",201960,201960,143061,,,201960,143061
"Baltimore, MD (Port)","1206 Sunflower Seeds, Whether Or Not Broken",454973,454973,294504,,,454973,294504
"Baltimore, MD (Port)","1207 Oil Seeds & Oleaginous Fruits Nesoi, Broken Or Not",14058868,14058868,15260577,,,14058868,15260577
"Baltimore, MD (Port)",1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard),2783745,2783745,3631521,,,2783745,3631521
"Baltimore, MD (Port)","1209 Seeds, Fruit And Spores, For Sowing",1156423,1156423,995826,,,1156423,995826
"Baltimore, MD (Port)","1210 Hop Cones, Fresh Or Dried; Lupulin",3662,3662,595,,,,
"Baltimore, MD (Port)","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc",2223901,2223901,735666,,,2223901,735666
"Baltimore, MD (Port)","1212 Locust Beans, Seaweed, S Beet & Cane; Fr Pits Etc.",2678189,2678189,374383,,,2678189,374383
"Baltimore, MD (Port)","1301 Lac; Natural Gums, Resins, Gum-resins And Balsams",6618804,6618804,5578919,,,6618804,5578919
"Baltimore, MD (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,38743591,38743591,5616289,,,38733203,5614983
"Baltimore, MD (Port)","1401 Vegetable Plaiting Materials (bamboos, Reeds Etc.)",23535,23535,29180,,,23535,29180
"Baltimore, MD (Port)",1404 Vegetable Products Nesoi,1705168,1705168,879710,,,1705168,879710
"Baltimore, MD (Port)","1504 Fats & Oils, Their Fractions, Fish & Marine Mammal",64800,64800,38200,,,64800,38200
"Baltimore, MD (Port)",1505 Wool Grease & Fatty Substances Derived Therefrom,182453,182453,20310,,,182453,20310
"Baltimore, MD (Port)","1509 Olive Oil & Its Fractions, Not Chemically Modified",40129443,40129443,16762855,,,29881354,12159941
"Baltimore, MD (Port)",1510 Olive-residue Oil & Blends (1509&1510) Nt Chem Mod,662068,662068,327049,,,662068,327049
"Baltimore, MD (Port)","1511 Palm Oil & Its Fractions, Not Chemically Modified",42197,42197,28498,,,42197,28498
"Baltimore, MD (Port)","1512 Sunfl-seed, Safflow Or Cottonsd Oil Etc, No Ch Mod",2175,2175,1403,,,2175,1403
"Baltimore, MD (Port)","1513 Coconut, Palm Kernel Or Babassu Oil Etc, No Ch Mod",182985,182985,132601,,,182985,132601
"Baltimore, MD (Port)","1514 Rapeseed, Colza Or Mustard Oil Etc, Not Chem Modif",515059,515059,340720,,,515059,340720
"Baltimore, MD (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",5622656,5622656,1659594,,,5622656,1659594
"Baltimore, MD (Port)","1516 An Or Veg Fats & Oils, Hydrogen Etc, Not Fur Prep",1803814,1803814,380032,,,1803814,380032
"Baltimore, MD (Port)",1517 Margarine; Edible Mixtures Etc An Or Veg Fat & Oil,208648,208648,97682,,,208648,97682
"Baltimore, MD (Port)",1518 Anml/veg Fats & Oils Chem Modified; Inedbl Mxt Etc,204480,204480,8320,,,204480,8320
"Baltimore, MD (Port)","1521 Veg Waxes Nesoi, Beeswax Etc And Spermaceti",82705,82705,58317,,,82705,58317
"Baltimore, MD (Port)","1602 Prepared Or Preserv Meat, Meat Offal & Blood Nesoi",1599335,1599335,297673,,,1599335,297673
"Baltimore, MD (Port)","1603 Extracts Etc. Of Meat, Fish, Crustaceans, Etc.",223200,223200,17765,,,223200,17765
"Baltimore, MD (Port)",1604 Prep Or Pres Fish; Caviar & Caviar Substitutes,90659006,90659006,23035047,,,90659006,23035047
"Baltimore, MD (Port)","1605 Crustaceans, Molluscs Etc. Prepared Or Preserved",39136644,39136644,3089012,,,39136644,3089012
"Baltimore, MD (Port)","1701 Cane Or Beet Sugar & Chem Pure Sucrose, Solid Form",405739576,405739576,715373375,,,5615662,4995236
"Baltimore, MD (Port)","1702 Sugars Nesoi, Incl Chem Pure Lactose Etc; Caramel",3762350,3762350,7630755,,,1232181,629805
"Baltimore, MD (Port)",1703 Molasses From The Extraction Or Refining Of Sugar,14734648,14734648,92688179,,,,
"Baltimore, MD (Port)","1704 Sugar Confection (incl White Chocolate), No Cocoa",11167970,11167970,3420794,,,11167970,3420794
"Baltimore, MD (Port)","1801 Cocoa Beans, Whole Or Broken, Raw Or Roasted",21999464,21999464,9337388,,,720380,104713
"Baltimore, MD (Port)","1803 Cocoa Paste, Defatted Or Not",14403987,14403987,3540097,,,14045926,3439597
"Baltimore, MD (Port)","1804 Cocoa Butter, Fat And Oil",124712,124712,23120,,,124712,23120
"Baltimore, MD (Port)",1806 Chocolate & Other Food Products Containing Cocoa,11207281,11207281,1859618,,,10839217,1790498
"Baltimore, MD (Port)",1901 Malt Ext; Food Prep Of Flour Etc Un 40% Cocoa Etc,4259166,4259166,2100808,,,4259166,2100808
"Baltimore, MD (Port)","1902 Pasta, Prepared Or Not; Couscous, Prepared Or Not",11702423,11702423,6637811,,,11683228,6628538
"Baltimore, MD (Port)","1903 Tapioca And Substitutes From Starch In Flakes, Etc",168696,168696,130532,,,168696,130532
"Baltimore, MD (Port)","1904 Foods Prep By Swell Cereal; Cereal Nesoi, Grain Fm",5024289,5024289,1757801,,,5024289,1757801
"Baltimore, MD (Port)","1905 Bread, Pastry, Cakes Etc; Comm Wafrs, Emp Caps Etc",19506754,19506754,5488889,,,19488073,5478560
"Baltimore, MD (Port)","2001 Veg, Fruit, Nuts Etc, Prep Or Pres By Vinegar Etc",7406533,7406533,4308444,,,7406533,4308444
"Baltimore, MD (Port)",2002 Tomatoes Prepared Or Preserved Nesoi,19301,19301,7731,,,19301,7731
"Baltimore, MD (Port)",2003 Mushrooms And Truffles Prepared Or Preserved Nesoi,10706221,10706221,7970344,,,10706221,7970344
"Baltimore, MD (Port)","2004 Vegetables Nesoi Prepared Or Preserv Nesoi, Frozen",1129725,1129725,668790,,,1129725,668790
"Baltimore, MD (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",42985259,42985259,27200183,,,42985259,27200183
"Baltimore, MD (Port)","2006 Veg/fruit/nuts/fruit-peel Etc, Preserved By Sugar",126565,126565,40373,,,126565,40373
"Baltimore, MD (Port)","2007 Jams, Fruit Jellies, Marmalades Etc, Cooked",10977711,10977711,10287401,,,10977711,10287401
"Baltimore, MD (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",55482876,55467196,51855464,15680,11010,55242796,51657464
"Baltimore, MD (Port)",2009 Fruit Juice Nt Frtfd W Vit/mnl Veg Juice No Spirit,48993663,48993663,28064257,,,48934538,28039059
"Baltimore, MD (Port)","2101 Extracts Etc Of Coffee, Tea Or Mate; Roast Chicory",13679768,13679768,937005,,,13679768,937005
"Baltimore, MD (Port)",2102 Yeasts; Dead Sing-cell Micro-org Nesoi; Bak Powder,449384,449384,155206,,,449384,155206
"Baltimore, MD (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",15828027,15828027,8395084,,,15814461,8394891
